step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.236865997314453,
subset,end,1.4860291481018066,5.804447174072266,
pca,start,,8.186504364013672,
pca,end,18.900901556015015,8.169235229492188,
bbknn,start,,8.169235229492188,
bbknn,end,68.71283745765686,8.408760070800781,
diffmap,start,,8.408760070800781,
diffmap,end,50.27419424057007,8.465259552001953,
umap,start,,8.465259552001953,
umap,end,889.0140337944031,8.47812271118164,
leiden,start,,8.47812271118164,
leiden,end,756.5153434276581,10.106498718261719,
metrics,start,,10.106498718261719,
metrics,end,32075.2224547863,11.427619934082031,
plots,start,,11.427619934082031,
plots,end,26.911211252212524,12.587760925292969,
