step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1674880981445312,
subset,end,1.474161148071289,5.703338623046875,
prep_expr,start,,8.073089599609375,
prep_expr,end,4.213505029678345,14.268447875976562,
combat_expr,start,,14.268447875976562,
combat_expr,end,116.83142924308777,11.895313262939453,
pca,start,,11.895313262939453,
pca,end,48.62610483169556,11.905303955078125,
neighbors,start,,11.905303955078125,
neighbors,end,94.05104804039001,12.55001449584961,
umap,start,,12.55001449584961,
umap,end,920.1302602291107,12.521732330322266,
leiden,start,,12.521732330322266,
leiden,end,416.8451871871948,14.092044830322266,
metrics,start,,14.092044830322266,
metrics,end,2052.8630595207214,15.30633544921875,
plots,start,,15.30633544921875,
plots,end,30.54211115837097,18.974803924560547,
