step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1800193786621094,
subset,end,1.389312744140625,5.7153167724609375,
write_h5ad,start,,8.11090087890625,
write_h5ad,end,17.84793519973755,10.434391021728516,
r_fastmnn,start,,10.434391021728516,
r_fastmnn,end,1358.0055768489838,10.434391021728516,
read_embedding,start,,10.434391021728516,
read_embedding,end,2.6978354454040527,10.621532440185547,
neighbors,start,,10.621532440185547,
neighbors,end,95.66220879554749,11.273021697998047,
umap,start,,11.273021697998047,
umap,end,279.93540382385254,11.25948715209961,
leiden,start,,11.25948715209961,
leiden,end,985.6225228309631,13.3013916015625,
metrics,start,,13.3013916015625,
metrics,end,2377.7245304584503,14.542617797851562,
plots,start,,14.542617797851562,
plots,end,26.585922718048096,15.70438003540039,
