step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.17572021484375,
subset,end,1.5424022674560547,5.714191436767578,
pca_sparse_safe,start,,8.084735870361328,
pca_sparse_safe,end,21.314252376556396,8.066913604736328,
harmony,start,,8.07863998413086,
harmony,end,6.553009271621704,8.651969909667969,
neighbors,start,,8.651969909667969,
neighbors,end,69.72901129722595,9.488605499267578,
umap,start,,9.488605499267578,
umap,end,224.61521124839783,9.49029541015625,
leiden,start,,9.49029541015625,
leiden,end,837.1910715103149,10.605682373046875,
metrics,start,,10.605682373046875,
metrics,end,2823.5907006263733,11.900726318359375,
plots,start,,11.900726318359375,
plots,end,32.57261323928833,13.061908721923828,
