step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1764602661132812,
subset,end,1.5143587589263916,5.713706970214844,
scanorama_integrate,start,,10.607196807861328,
scanorama_integrate,end,17453.10551404953,53.54648208618164,
neighbors,start,,35.953453063964844,
neighbors,end,82.97895216941833,22.351673126220703,
umap,start,,22.351673126220703,
umap,end,170.51634311676025,22.351699829101562,
leiden,start,,22.351699829101562,
leiden,end,1188.9684109687805,24.1663818359375,
metrics,start,,24.1663818359375,
metrics,end,1940.4375174045563,25.531085968017578,
plots,start,,25.531085968017578,
plots,end,32.27051115036011,34.93312454223633,
