step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1766357421875,
subset,end,1.379443883895874,5.712169647216797,
write_h5ad,start,,8.081722259521484,
write_h5ad,end,1.149071455001831,8.0931396484375,
r_seurat,start,,8.093505859375,
r_seurat,end,3808.123442173004,8.094970703125,
load_embedding,start,,8.094970703125,
load_embedding,end,1.0309689044952393,8.167034149169922,
neighbors,start,,8.167034149169922,
neighbors,end,47.724446058273315,8.729042053222656,
umap,start,,8.729042053222656,
umap,end,147.0385763645172,8.754581451416016,
leiden,start,,8.754581451416016,
leiden,end,592.8695292472839,9.930076599121094,
metrics,start,,9.930076599121094,
metrics,end,1623.1368038654327,11.394737243652344,
plots,start,,11.394737243652344,
plots,end,24.571728706359863,11.397327423095703,
