step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.2345962524414062,
subset,end,1.4490089416503906,5.801158905029297,
pca,start,,5.801158905029297,
pca,end,19.48451256752014,5.752586364746094,
bbknn,start,,5.752586364746094,
bbknn,end,73.22609496116638,5.993724822998047,
diffmap,start,,5.993724822998047,
diffmap,end,50.147480726242065,6.049747467041016,
umap,start,,6.049747467041016,
umap,end,1149.5544397830963,6.063564300537109,
leiden,start,,6.063564300537109,
leiden,end,717.7192738056183,7.727108001708984,
metrics,start,,7.727108001708984,
metrics,end,1183.8004331588745,8.079120635986328,
plots,start,,8.053092956542969,
plots,end,26.52752161026001,9.54873275756836,
