step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1744117736816406,
subset,end,1.521043062210083,5.712314605712891,
prep_expr,start,,5.712314605712891,
prep_expr,end,4.385334730148315,11.766193389892578,
combat_expr,start,,11.766193389892578,
combat_expr,end,126.97067046165466,11.82723617553711,
pca,start,,11.82723617553711,
pca,end,47.39895009994507,11.83004379272461,
neighbors,start,,11.83004379272461,
neighbors,end,99.37314248085022,10.101215362548828,
umap,start,,10.101215362548828,
umap,end,937.1885848045349,10.07437515258789,
leiden,start,,10.07437515258789,
leiden,end,384.64445090293884,11.64853286743164,
metrics,start,,11.64853286743164,
metrics,end,1317.402770280838,11.840999603271484,
plots,start,,11.841365814208984,
plots,end,29.690439701080322,15.525630950927734,
