step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.175334930419922,
subset,end,1.4580802917480469,5.712909698486328,
write_h5ad,start,,5.712909698486328,
write_h5ad,end,5.196199178695679,7.9141693115234375,
r_fastmnn,start,,7.9141693115234375,
r_fastmnn,end,691.0336830615997,7.9141693115234375,
read_embedding,start,,7.9141693115234375,
read_embedding,end,2.789522409439087,8.101085662841797,
neighbors,start,,8.101085662841797,
neighbors,end,85.33032321929932,8.815265655517578,
umap,start,,8.815265655517578,
umap,end,180.57975554466248,8.839061737060547,
leiden,start,,8.839061737060547,
leiden,end,938.0466709136963,11.468177795410156,
metrics,start,,11.468177795410156,
metrics,end,1336.3457634449005,11.638019561767578,
plots,start,,11.613998413085938,
plots,end,26.857372283935547,12.309581756591797,
