step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.179889678955078,
subset,end,1.5065672397613525,5.717594146728516,
pca_sparse_safe,start,,5.717594146728516,
pca_sparse_safe,end,20.001368522644043,5.6652679443359375,
harmony,start,,5.667774200439453,
harmony,end,6.064755201339722,6.231803894042969,
neighbors,start,,6.231803894042969,
neighbors,end,66.17184257507324,6.797798156738281,
umap,start,,6.797798156738281,
umap,end,200.34866428375244,6.852359771728516,
leiden,start,,6.852359771728516,
leiden,end,679.2912061214447,8.09185791015625,
metrics,start,,8.09185791015625,
metrics,end,1298.1502554416656,8.28823471069336,
plots,start,,8.26226806640625,
plots,end,27.931904077529907,9.67258071899414,
