step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1812515258789062,
subset,end,2.7591795921325684,8.111255645751953,
write_h5ad,start,,8.111255645751953,
write_h5ad,end,5.834478378295898,8.111621856689453,
prepare_hvgs,start,,8.111621856689453,
prepare_hvgs,end,0.0011317729949951172,8.111621856689453,
r_liger,start,,8.111621856689453,
r_liger,end,982.2311491966248,8.111621856689453,
load_embedding,start,,8.111621856689453,
load_embedding,end,1.6816012859344482,8.201038360595703,
neighbors,start,,8.201038360595703,
neighbors,end,84.65366005897522,6.357151031494141,
umap,start,,6.357151031494141,
umap,end,178.30928897857666,6.382625579833984,
leiden,start,,6.382625579833984,
leiden,end,624.3752818107605,8.467147827148438,
metrics,start,,8.467147827148438,
metrics,end,1100.9209702014923,8.58306884765625,
