step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.1816139221191406,
subset,end,1.5933902263641357,5.720485687255859,
scanorama_integrate,start,,8.18954849243164,
scanorama_integrate,end,11719.77232670784,49.90091323852539,
neighbors,start,,32.30596160888672,
neighbors,end,79.29222679138184,18.79315948486328,
umap,start,,18.79315948486328,
umap,end,176.17577815055847,18.79351806640625,
leiden,start,,18.79351806640625,
leiden,end,1129.8651142120361,20.48062515258789,
metrics,start,,20.48062515258789,
metrics,end,1362.307089805603,20.616432189941406,
plots,start,,20.588855743408203,
plots,end,35.157190561294556,29.531982421875,
