step,event,time_s,rss_gb,gpu_mem_gb
subset_sanitize,start,,3.3625946044921875,0.0
subset_sanitize,end,1.8226227760314941,5.982868194580078,0.0
setup_anndata,start,,5.982868194580078,0.0
setup_anndata,end,0.16354870796203613,6.003009796142578,0.0
train,start,,6.003009796142578,0.0
train,end,1339.3082661628723,6.606212615966797,0.010251045227050781
latent,start,,6.619029998779297,0.010251045227050781
latent,end,5.611255645751953,6.671764373779297,0.01818561553955078
neighbors,start,,6.671764373779297,0.01818561553955078
neighbors,end,86.34116339683533,7.35498046875,0.01818561553955078
umap,start,,7.35498046875,0.01818561553955078
umap,end,217.87937593460083,7.375419616699219,0.01818561553955078
leiden,start,,7.375419616699219,0.01818561553955078
leiden,end,1120.7430493831635,9.304412841796875,0.01818561553955078
metrics,start,,9.304412841796875,0.01818561553955078
metrics,end,1416.4064900875092,9.543128967285156,0.01818561553955078
plots,start,,9.473941802978516,0.01818561553955078
plots,end,25.636436939239502,10.404991149902344,0.01818561553955078
