step,event,time_s,rss_gb,gpu_mem_gb
subset_sanitize,start,,3.359302520751953,0.0
subset_sanitize,end,3.396003007888794,8.190101623535156,0.0
scgen_setup_anndata,start,,8.190101623535156,0.0
scgen_setup_anndata,end,0.01748204231262207,8.191932678222656,0.0
scgen_init,start,,8.191932678222656,0.0
scgen_init,end,0.008581876754760742,8.198158264160156,0.0
scgen_train,start,,8.198158264160156,0.0
scgen_train,end,186.479807138443,8.668743133544922,0.00824117660522461
scgen_save_model,start,,8.668743133544922,0.00824117660522461
scgen_save_model,end,0.03153872489929199,8.677165985107422,0.00824117660522461
latent_mean,start,,8.677165985107422,0.00824117660522461
latent_mean,end,1.295837640762329,8.754032135009766,0.01617574691772461
latent_label_batch_correction,start,,8.754032135009766,0.01617574691772461
latent_label_batch_correction,end,0.6218647956848145,8.797218322753906,0.01617574691772461
neighbors,start,,8.797218322753906,0.01617574691772461
neighbors,end,87.6426465511322,7.038917541503906,0.01617574691772461
umap,start,,7.038917541503906,0.01617574691772461
umap,end,237.8497142791748,7.058475494384766,0.01617574691772461
leiden,start,,7.058475494384766,0.01617574691772461
leiden,end,1469.4779188632965,8.81624984741211,0.01617574691772461
metrics,start,,8.81624984741211,0.01617574691772461
metrics,end,1396.351657629013,9.033439636230469,0.01617574691772461
plots,start,,9.019950866699219,0.01617574691772461
plots,end,29.702860355377197,10.179882049560547,0.01617574691772461
