2026-03-31 10:32:27,651 | INFO | [scVI] accelerator=gpu
2026-03-31 10:32:27,652 | INFO | [scVI] covariates=['donor_id', 'technology', 'platform']
2026-03-31 10:32:27,654 | INFO | [scVI] setup_anndata: start
2026-03-31 10:32:27,748 | INFO | [scVI] setup_anndata: done
2026-03-31 10:32:27,749 | INFO | [scVI] init model: n_latent=30, n_hidden=128, n_layers=2, gene_likelihood=nb
2026-03-31 10:32:27,750 | INFO | [scVI] train: start
2026-03-31 10:59:02,033 | INFO | [scVI] accelerator=gpu
2026-03-31 10:59:02,033 | INFO | [scVI] covariates=['donor_id', 'technology', 'platform']
2026-03-31 10:59:02,034 | INFO | [scVI] setup_anndata: start
2026-03-31 10:59:02,121 | INFO | [scVI] setup_anndata: done
2026-03-31 10:59:02,122 | INFO | [scVI] init model: n_latent=30, n_hidden=128, n_layers=2, gene_likelihood=nb
2026-03-31 10:59:02,124 | INFO | [scVI] train: start
2026-03-31 11:20:47,558 | INFO | [scVI] train: done
2026-03-31 11:20:47,560 | INFO | [scVI] saving model...
2026-03-31 11:20:47,584 | INFO | [scVI] model saved
2026-03-31 12:42:25,505 | INFO | [scVI] accelerator=gpu
2026-03-31 12:42:25,505 | INFO | [scVI] covariates=['platform']
2026-03-31 12:42:25,506 | INFO | [scVI] setup_anndata: start
2026-03-31 12:42:25,539 | INFO | [scVI] setup_anndata: done
2026-03-31 12:42:25,540 | INFO | [scVI] init model: n_latent=30, n_hidden=128, n_layers=2, gene_likelihood=nb
2026-03-31 12:42:25,540 | INFO | [scVI] train: start
2026-03-31 12:53:10,052 | INFO | [scVI] train: done
2026-03-31 12:53:10,053 | INFO | [scVI] saving model...
2026-03-31 12:53:10,146 | INFO | [scVI] model saved
2026-04-05 12:16:35,223 | INFO | [scVI] accelerator=gpu
2026-04-05 12:16:35,228 | INFO | [scVI] covariates=['platform']
2026-04-05 12:16:35,230 | INFO | [scVI] setup_anndata: start
2026-04-05 12:16:35,282 | INFO | [scVI] setup_anndata: done
2026-04-05 12:16:35,283 | INFO | [scVI] init model: n_latent=50, n_hidden=128, n_layers=2, gene_likelihood=nb
2026-04-05 12:16:35,284 | INFO | [scVI] train: start
