step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,3.175739288330078,
subset,end,1.4245164394378662,5.7134552001953125,
write_h5ad,start,,5.7134552001953125,
write_h5ad,end,1.2215654850006104,5.6923370361328125,
r_seurat,start,,5.601085662841797,
r_seurat,end,3896.4228768348694,5.601451873779297,
load_embedding,start,,5.601451873779297,
load_embedding,end,0.9542973041534424,5.60528564453125,
neighbors,start,,5.60528564453125,
neighbors,end,50.20275282859802,6.245513916015625,
umap,start,,6.245513916015625,
umap,end,154.3544099330902,6.269649505615234,
leiden,start,,6.269649505615234,
leiden,end,600.1698205471039,7.481998443603516,
metrics,start,,7.481998443603516,
metrics,end,1403.2202925682068,7.6791229248046875,
