step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,6.6483917236328125,
subset,end,0.07098174095153809,6.726062774658203,
pca,start,,6.809024810791016,
pca,end,1.090634822845459,6.860088348388672,
bbknn,start,,6.860088348388672,
bbknn,end,4.035707950592041,6.679363250732422,
diffmap,start,,6.679363250732422,
diffmap,end,1.8677096366882324,6.679363250732422,
umap,start,,6.679363250732422,
umap,end,57.61497139930725,6.679363250732422,
leiden,start,,6.679363250732422,
leiden,end,8.487487554550171,6.6802520751953125,
metrics,start,,6.6802520751953125,
metrics,end,764.1822862625122,6.691509246826172,
plots,start,,6.691509246826172,
plots,end,10.440040349960327,6.689605712890625,
