step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,2.8657379150390625,
subset,end,0.05990266799926758,2.8657379150390625,
prep_expr,start,,2.8657379150390625,
prep_expr,end,0.26715970039367676,3.2101364135742188,
combat_expr,start,,3.2101364135742188,
combat_expr,end,6.082329034805298,3.2458953857421875,
pca,start,,3.2458953857421875,
pca,end,1.5761990547180176,3.265819549560547,
neighbors,start,,3.265819549560547,
neighbors,end,4.449542284011841,3.2757225036621094,
umap,start,,3.2757225036621094,
umap,end,60.73737716674805,3.2757225036621094,
leiden,start,,3.2757225036621094,
leiden,end,5.3049046993255615,3.2798538208007812,
metrics,start,,3.2798538208007812,
metrics,end,157.12756419181824,3.425426483154297,
plots,start,,3.425426483154297,
plots,end,11.992374897003174,3.4555320739746094,
