step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,0.8314933776855469,
subset,end,0.10003352165222168,1.0208778381347656,
write_h5ad,start,,1.1574821472167969,
write_h5ad,end,1.0803439617156982,1.3435173034667969,
r_fastmnn,start,,1.3435173034667969,
r_fastmnn,end,26.25941491127014,1.3435173034667969,
read_embedding,start,,1.3435173034667969,
read_embedding,end,0.1731703281402588,1.3754005432128906,
neighbors,start,,1.3754005432128906,
neighbors,end,27.42452645301819,1.7503929138183594,
umap,start,,1.7503929138183594,
umap,end,21.868967056274414,1.7758979797363281,
leiden,start,,1.7758979797363281,
leiden,end,16.753119468688965,1.9045867919921875,
metrics,start,,1.9045867919921875,
metrics,end,198.59744000434875,2.9524688720703125,
plots,start,,2.9524688720703125,
plots,end,10.274718046188354,2.9575042724609375,
