step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,4.438259124755859,
subset,end,0.06644415855407715,4.438259124755859,
pca_sparse_safe,start,,4.438259124755859,
pca_sparse_safe,end,1.3300886154174805,4.440090179443359,
harmony,start,,4.440090179443359,
harmony,end,2.2226617336273193,4.465724945068359,
neighbors,start,,4.465724945068359,
neighbors,end,2.2456607818603516,4.376922607421875,
umap,start,,4.376922607421875,
umap,end,11.824879884719849,4.376922607421875,
leiden,start,,4.376922607421875,
leiden,end,6.767331123352051,4.377933502197266,
metrics,start,,4.377933502197266,
metrics,end,192.3093123435974,4.6893157958984375,
plots,start,,4.6893157958984375,
plots,end,9.845460176467896,4.7247467041015625,
