step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,0.831146240234375,
subset,end,0.2001962661743164,1.1893844604492188,
write_h5ad,start,,1.3195724487304688,
write_h5ad,end,0.05868411064147949,1.3199386596679688,
prepare_hvgs,start,,1.3199386596679688,
prepare_hvgs,end,0.0005640983581542969,1.3199386596679688,
r_liger,start,,1.3199386596679688,
r_liger,end,41.423213958740234,1.3199386596679688,
load_embedding,start,,1.3199386596679688,
load_embedding,end,0.053331851959228516,1.3411788940429688,
neighbors,start,,1.3411788940429688,
neighbors,end,29.971750259399414,1.5765838623046875,
umap,start,,1.5765838623046875,
umap,end,9.187679052352905,1.60125732421875,
leiden,start,,1.60125732421875,
leiden,end,12.46973967552185,1.7275123596191406,
metrics,start,,1.7275123596191406,
metrics,end,424.2652268409729,2.760326385498047,
plots,start,,2.760326385498047,
plots,end,10.385698318481445,2.7619895935058594,
