step,event,time_s,rss_gb,gpu_mem_gb
subset,start,,4.7247467041015625,
subset,end,0.0637507438659668,4.7247467041015625,
scanorama_integrate,start,,4.7247467041015625,
scanorama_integrate,end,128.49662065505981,7.503246307373047,
neighbors,start,,6.655757904052734,
neighbors,end,4.498920440673828,5.727500915527344,
umap,start,,5.727500915527344,
umap,end,9.223411083221436,5.727500915527344,
leiden,start,,5.727500915527344,
leiden,end,14.662548542022705,5.7288970947265625,
metrics,start,,5.7288970947265625,
metrics,end,259.7993965148926,5.807750701904297,
plots,start,,5.807750701904297,
plots,end,10.16997742652893,5.8761749267578125,
