cell_id,branch_label
1,monocyte-derived macrophage
6,VEGFA+ macrophage
7,VEGFA+ macrophage
9,TREM2+ macrophage
14,TREM2+ macrophage
15,VEGFA+ macrophage
16,VEGFA+ macrophage
17,TREM2+ macrophage
20,VEGFA+ macrophage
23,VEGFA+ macrophage
24,VEGFA+ macrophage
28,VEGFA+ macrophage
29,VEGFA+ macrophage
37,VEGFA+ macrophage
38,VEGFA+ macrophage
45,VEGFA+ macrophage
46,monocyte-derived macrophage
47,VEGFA+ macrophage
48,TREM2+ macrophage
49,monocyte-derived macrophage
50,VEGFA+ macrophage
51,monocyte-derived macrophage
53,VEGFA+ macrophage
56,VEGFA+ macrophage
57,monocyte-derived macrophage
60,VEGFA+ macrophage
61,VEGFA+ macrophage
63,monocyte-derived macrophage
68,VEGFA+ macrophage
69,VEGFA+ macrophage
73,TREM2+ macrophage
79,VEGFA+ macrophage
83,VEGFA+ macrophage
90,VEGFA+ macrophage
94,TREM2+ macrophage
97,monocyte-derived macrophage
98,TREM2+ macrophage
100,VEGFA+ macrophage
101,TREM2+ macrophage
102,VEGFA+ macrophage
106,VEGFA+ macrophage
107,monocyte-derived macrophage
109,monocyte-derived macrophage
110,TREM2+ macrophage
114,monocyte-derived macrophage
116,MARCO+ macrophage
118,VEGFA+ macrophage
120,monocyte-derived macrophage
122,proliferative macrophage
125,TREM2+ macrophage
126,MMP9+ macrophage
131,monocyte-derived macrophage
133,monocyte-derived macrophage
136,VEGFA+ macrophage
137,VEGFA+ macrophage
142,monocyte-derived macrophage
143,VEGFA+ macrophage
145,monocyte-derived macrophage
148,VEGFA+ macrophage
151,VEGFA+ macrophage
153,VEGFA+ macrophage
156,VEGFA+ macrophage
157,MARCO+ macrophage
159,VEGFA+ macrophage
169,TREM2+ macrophage
171,VEGFA+ macrophage
177,monocyte-derived macrophage
178,VEGFA+ macrophage
179,VEGFA+ macrophage
180,VEGFA+ macrophage
182,MARCO+ macrophage
184,TREM2+ macrophage
185,VEGFA+ macrophage
186,VEGFA+ macrophage
188,VEGFA+ macrophage
195,TREM2+ macrophage
202,VEGFA+ macrophage
204,VEGFA+ macrophage
206,monocyte-derived macrophage
207,TREM2+ macrophage
208,monocyte-derived macrophage
210,monocyte-derived macrophage
211,TREM2+ macrophage
213,TREM2+ macrophage
220,VEGFA+ macrophage
221,VEGFA+ macrophage
222,VEGFA+ macrophage
223,VEGFA+ macrophage
225,monocyte-derived macrophage
227,monocyte-derived macrophage
231,TREM2+ macrophage
234,VEGFA+ macrophage
235,VEGFA+ macrophage
236,TREM2+ macrophage
241,monocyte-derived macrophage
246,VEGFA+ macrophage
247,VEGFA+ macrophage
249,VEGFA+ macrophage
252,monocyte-derived macrophage
253,VEGFA+ macrophage
261,VEGFA+ macrophage
265,VEGFA+ macrophage
269,VEGFA+ macrophage
271,VEGFA+ macrophage
272,VEGFA+ macrophage
274,VEGFA+ macrophage
276,TREM2+ macrophage
277,VEGFA+ macrophage
278,VEGFA+ macrophage
279,VEGFA+ macrophage
281,VEGFA+ macrophage
282,monocyte-derived macrophage
284,VEGFA+ macrophage
286,VEGFA+ macrophage
287,VEGFA+ macrophage
290,monocyte-derived macrophage
296,VEGFA+ macrophage
298,VEGFA+ macrophage
304,VEGFA+ macrophage
306,VEGFA+ macrophage
308,VEGFA+ macrophage
313,monocyte-derived macrophage
314,monocyte-derived macrophage
317,TREM2+ macrophage
320,monocyte-derived macrophage
322,patient-specific macrophage
324,VEGFA+ macrophage
326,VEGFA+ macrophage
330,monocyte-derived macrophage
331,VEGFA+ macrophage
332,patient-specific macrophage
336,monocyte-derived macrophage
341,VEGFA+ macrophage
343,VEGFA+ macrophage
350,VEGFA+ macrophage
362,VEGFA+ macrophage
363,TREM2+ macrophage
364,monocyte-derived macrophage
365,VEGFA+ macrophage
366,monocyte-derived macrophage
369,monocyte-derived macrophage
370,TREM2+ macrophage
371,VEGFA+ macrophage
373,VEGFA+ macrophage
375,VEGFA+ macrophage
377,VEGFA+ macrophage
379,TREM2+ macrophage
390,VEGFA+ macrophage
391,MARCO+ macrophage
397,TREM2+ macrophage
400,VEGFA+ macrophage
403,TREM2+ macrophage
413,TREM2+ macrophage
414,monocyte-derived macrophage
415,VEGFA+ macrophage
417,VEGFA+ macrophage
419,VEGFA+ macrophage
422,VEGFA+ macrophage
433,VEGFA+ macrophage
434,VEGFA+ macrophage
437,VEGFA+ macrophage
441,VEGFA+ macrophage
444,TREM2+ macrophage
445,VEGFA+ macrophage
446,VEGFA+ macrophage
451,TREM2+ macrophage
454,VEGFA+ macrophage
457,VEGFA+ macrophage
461,VEGFA+ macrophage
465,VEGFA+ macrophage
466,VEGFA+ macrophage
