cell_id,branch_label
0,effector memory T
18,naïve T
21,regulatory T
31,regulatory T
33,regulatory T
36,central memory T
72,naïve T
74,intermediate T
81,tissue-resident memory T
82,proliferative CD4 T
88,intermediate T
89,effector memory T
96,naïve T
115,central memory T
124,proliferative CD4 T
135,regulatory T
147,tissue-resident memory T
155,central memory T
160,effector memory T
161,intermediate T
167,tissue-resident memory T
172,regulatory T
175,naïve T
183,cytotoxic T lymphocytes
192,proliferative CD4 T
196,effector memory T
200,cytotoxic T lymphocytes
218,intermediate T
219,effector memory T
230,cytotoxic T lymphocytes
239,intermediate T
242,tissue-resident memory T
251,tissue-resident memory T
254,proliferative CD4 T
255,central memory T
256,naïve T
260,intermediate T
273,tissue-resident memory T
294,tissue-resident memory T
297,tissue-resident memory T
302,effector memory T
303,central memory T
318,tissue-resident memory T
327,proliferative CD4 T
328,tissue-resident memory T
334,intermediate T
355,naïve T
372,proliferative CD4 T
383,naïve T
386,cytotoxic T lymphocytes
387,cytotoxic T lymphocytes
393,effector memory T
395,central memory T
410,tissue-resident memory T
424,tissue-resident memory T
426,cytotoxic T lymphocytes
452,effector memory T
455,regulatory T
460,naïve T
462,effector memory T
467,intermediate T
480,regulatory T
491,intermediate T
493,tissue-resident memory T
495,cytotoxic T lymphocytes
498,regulatory T
504,intermediate T
511,tissue-resident memory T
512,central memory T
513,effector memory T
514,naïve T
517,intermediate T
524,tissue-resident memory T
529,effector memory T
535,central memory T
544,tissue-resident memory T
559,intermediate T
560,central memory T
585,regulatory T
586,intermediate T
588,central memory T
592,intermediate T
593,naïve T
610,tissue-resident memory T
624,intermediate T
653,intermediate T
658,cytotoxic T lymphocytes
659,central memory T
737,intermediate T
739,cytotoxic T lymphocytes
743,tissue-resident memory T
746,cytotoxic T lymphocytes
749,effector memory T
754,regulatory T
755,intermediate T
763,tissue-resident memory T
770,proliferative CD4 T
771,central memory T
796,tissue-resident memory T
801,central memory T
805,cytotoxic T lymphocytes
808,tissue-resident memory T
812,tissue-resident memory T
819,tissue-resident memory T
821,tissue-resident memory T
826,tissue-resident memory T
832,tissue-resident memory T
841,cytotoxic T lymphocytes
846,cytotoxic T lymphocytes
847,intermediate T
851,effector memory T
854,proliferative CD4 T
874,intermediate T
880,tissue-resident memory T
884,intermediate T
899,naïve T
902,tissue-resident memory T
910,effector memory T
923,proliferative CD4 T
928,tissue-resident memory T
930,effector memory T
932,tissue-resident memory T
938,tissue-resident memory T
947,proliferative CD4 T
950,proliferative CD4 T
951,central memory T
968,proliferative CD4 T
976,effector memory T
980,tissue-resident memory T
1003,proliferative CD4 T
1012,regulatory T
1021,naïve T
1029,intermediate T
1063,cytotoxic T lymphocytes
1084,cytotoxic T lymphocytes
1092,proliferative CD4 T
1104,regulatory T
1113,intermediate T
1119,central memory T
1120,effector memory T
1121,effector memory T
1123,proliferative CD4 T
1129,tissue-resident memory T
1132,naïve T
1139,naïve T
1142,effector memory T
1154,tissue-resident memory T
1156,intermediate T
1161,intermediate T
1165,intermediate T
1167,regulatory T
1168,central memory T
1175,central memory T
1177,naïve T
1184,naïve T
1185,central memory T
1205,intermediate T
1210,central memory T
1213,effector memory T
1217,cytotoxic T lymphocytes
1219,cytotoxic T lymphocytes
1223,regulatory T
1230,intermediate T
1242,central memory T
1265,naïve T
1271,effector memory T
1282,tissue-resident memory T
1291,tissue-resident memory T
1308,intermediate T
1313,effector memory T
1317,cytotoxic T lymphocytes
1321,regulatory T
1322,naïve T
1333,effector memory T
1335,cytotoxic T lymphocytes
1336,tissue-resident memory T
1338,cytotoxic T lymphocytes
1339,proliferative CD4 T
1343,tissue-resident memory T
1354,cytotoxic T lymphocytes
1362,effector memory T
1366,cytotoxic T lymphocytes
1368,naïve T
1369,naïve T
1393,central memory T
1441,cytotoxic T lymphocytes
1451,tissue-resident memory T
1454,cytotoxic T lymphocytes
1457,intermediate T
1460,tissue-resident memory T
1461,intermediate T
1489,intermediate T
1490,naïve T
1495,central memory T
1496,central memory T
1520,regulatory T
1534,regulatory T
1540,cytotoxic T lymphocytes
1541,effector memory T
1563,tissue-resident memory T
1573,effector memory T
1574,tissue-resident memory T
1583,regulatory T
1584,proliferative CD4 T
1586,cytotoxic T lymphocytes
1621,intermediate T
1623,central memory T
1624,effector memory T
1646,regulatory T
1659,tissue-resident memory T
1662,cytotoxic T lymphocytes
1667,proliferative CD4 T
1668,cytotoxic T lymphocytes
1672,regulatory T
1674,intermediate T
1682,tissue-resident memory T
1688,cytotoxic T lymphocytes
1698,naïve T
1701,proliferative CD4 T
1702,effector memory T
1704,effector memory T
1706,tissue-resident memory T
1712,naïve T
1719,naïve T
1721,regulatory T
1728,regulatory T
1731,tissue-resident memory T
1733,tissue-resident memory T
1746,tissue-resident memory T
1778,intermediate T
1803,effector memory T
1808,tissue-resident memory T
1809,central memory T
1828,tissue-resident memory T
1876,naïve T
1883,cytotoxic T lymphocytes
1884,proliferative CD4 T
1887,naïve T
1897,naïve T
1910,proliferative CD4 T
1925,naïve T
1939,effector memory T
1958,cytotoxic T lymphocytes
1966,proliferative CD4 T
1971,effector memory T
1975,intermediate T
1978,tissue-resident memory T
1986,cytotoxic T lymphocytes
1999,effector memory T
2000,intermediate T
2010,effector memory T
2011,tissue-resident memory T
2044,effector memory T
2046,intermediate T
2048,tissue-resident memory T
2054,central memory T
2077,tissue-resident memory T
2094,tissue-resident memory T
2104,effector memory T
2105,tissue-resident memory T
2110,cytotoxic T lymphocytes
2111,cytotoxic T lymphocytes
2136,tissue-resident memory T
2139,effector memory T
2140,effector memory T
2145,intermediate T
2149,intermediate T
2167,tissue-resident memory T
2175,cytotoxic T lymphocytes
2180,proliferative CD4 T
2191,cytotoxic T lymphocytes
2192,intermediate T
2193,effector memory T
2201,naïve T
2203,tissue-resident memory T
2209,proliferative CD4 T
2216,intermediate T
2225,intermediate T
2227,naïve T
2229,naïve T
2249,intermediate T
2255,effector memory T
2264,tissue-resident memory T
2266,naïve T
2268,cytotoxic T lymphocytes
2270,intermediate T
2276,proliferative CD4 T
2278,effector memory T
2282,regulatory T
2293,cytotoxic T lymphocytes
2299,naïve T
2312,effector memory T
2328,proliferative CD4 T
2330,naïve T
2339,naïve T
2348,intermediate T
2365,effector memory T
2372,intermediate T
2380,central memory T
2394,naïve T
2402,intermediate T
2406,intermediate T
2413,proliferative CD4 T
2417,regulatory T
2419,naïve T
2421,tissue-resident memory T
2428,cytotoxic T lymphocytes
2441,naïve T
2446,effector memory T
2451,proliferative CD8 T
2453,proliferative CD4 T
2454,central memory T
2458,naïve T
2461,tissue-resident memory T
2462,tissue-resident memory T
2476,naïve T
2481,naïve T
2485,naïve T
2499,cytotoxic T lymphocytes
2501,effector memory T
2513,tissue-resident memory T
2523,tissue-resident memory T
2544,tissue-resident memory T
2546,intermediate T
2562,tissue-resident memory T
2568,tissue-resident memory T
2575,intermediate T
2579,central memory T
2580,central memory T
2586,tissue-resident memory T
2590,cytotoxic T lymphocytes
2606,cytotoxic T lymphocytes
2612,naïve T
2613,tissue-resident memory T
2614,intermediate T
2615,central memory T
2617,tissue-resident memory T
2620,tissue-resident memory T
2622,central memory T
2625,tissue-resident memory T
2632,tissue-resident memory T
2634,cytotoxic T lymphocytes
2648,naïve T
2689,naïve T
2695,cytotoxic T lymphocytes
2701,tissue-resident memory T
2703,proliferative CD4 T
2717,effector memory T
2733,tissue-resident memory T
2742,effector memory T
2749,proliferative CD4 T
2751,intermediate T
2754,cytotoxic T lymphocytes
2764,intermediate T
2786,effector memory T
2787,cytotoxic T lymphocytes
2813,intermediate T
2815,intermediate T
2817,proliferative CD4 T
2829,tissue-resident memory T
2856,intermediate T
2858,intermediate T
2862,intermediate T
2863,tissue-resident memory T
2866,effector memory T
2873,central memory T
2874,central memory T
2879,regulatory T
2890,tissue-resident memory T
2891,central memory T
2892,proliferative CD4 T
2904,intermediate T
2917,central memory T
2918,proliferative CD4 T
2921,intermediate T
2928,central memory T
2932,intermediate T
2933,cytotoxic T lymphocytes
2939,effector memory T
2946,naïve T
2952,central memory T
2955,naïve T
2970,tissue-resident memory T
2978,tissue-resident memory T
2984,naïve T
2995,intermediate T
3001,tissue-resident memory T
3004,effector memory T
3014,tissue-resident memory T
3025,naïve T
3026,tissue-resident memory T
3031,cytotoxic T lymphocytes
3043,regulatory T
3046,tissue-resident memory T
3063,central memory T
3069,cytotoxic T lymphocytes
3075,tissue-resident memory T
3078,effector memory T
3082,proliferative CD4 T
3106,naïve T
3126,naïve T
3131,cytotoxic T lymphocytes
3144,tissue-resident memory T
3150,central memory T
3156,tissue-resident memory T
3163,naïve T
3165,tissue-resident memory T
3174,intermediate T
3180,central memory T
3188,proliferative CD4 T
3198,intermediate T
3203,central memory T
3223,tissue-resident memory T
3231,intermediate T
3236,tissue-resident memory T
3237,naïve T
3242,naïve T
3244,central memory T
3250,tissue-resident memory T
3258,effector memory T
3263,proliferative CD4 T
3277,tissue-resident memory T
3296,intermediate T
3299,proliferative CD4 T
3324,effector memory T
3334,regulatory T
3350,cytotoxic T lymphocytes
3355,cytotoxic T lymphocytes
3362,central memory T
3366,central memory T
3369,cytotoxic T lymphocytes
3371,regulatory T
3376,central memory T
3380,regulatory T
3385,regulatory T
3388,regulatory T
