cell_id,pseudotime,cluster_annotation
0,0.003048529290598956,effector memory T
18,0.004366812227074246,naïve T
21,0.003048529290598956,regulatory T
31,0.0024717805058910303,regulatory T
33,0.005849880530608864,regulatory T
36,0.0018950317211831047,central memory T
72,0.0026365658729504693,naïve T
74,0.0018126390376534962,intermediate T
81,0.003213314657658395,tissue-resident memory T
82,0.031391612424816695,proliferative CD4 T
88,0.0026365658729504693,intermediate T
89,0.0023069951388317023,effector memory T
96,0.003542885391777162,naïve T
115,0.001977424404712824,central memory T
124,0.05792205652138094,proliferative CD4 T
135,0.004696382961193013,regulatory T
147,0.002883743923539628,tissue-resident memory T
155,0.004202026860014807,central memory T
160,0.0028013512400099083,effector memory T
161,0.003048529290598956,intermediate T
167,0.0031309219741286753,tissue-resident memory T
172,0.005849880530608864,regulatory T
175,0.0037900634423663204,naïve T
183,0.0049435610117821716,cytotoxic T lymphocytes
192,0.02949658070363348,proliferative CD4 T
196,0.0025541731894207498,effector memory T
200,0.003048529290598956,cytotoxic T lymphocytes
218,0.003378100024717834,intermediate T
219,0.0025541731894207498,effector memory T
230,0.0029661366070693473,cytotoxic T lymphocytes
239,0.0037900634423663204,intermediate T
242,0.0037900634423663204,tissue-resident memory T
251,0.006097058581198023,tissue-resident memory T
254,0.029249402653044432,proliferative CD4 T
255,0.0020598170882425437,central memory T
256,0.0023069951388317023,naïve T
260,0.0020598170882425437,intermediate T
273,0.0026365658729504693,tissue-resident memory T
294,0.0026365658729504693,tissue-resident memory T
297,0.0025541731894207498,tissue-resident memory T
302,0.0016478536705940572,effector memory T
303,0.0018950317211831047,central memory T
318,0.005190739062371219,tissue-resident memory T
327,0.01672571475652962,proliferative CD4 T
328,0.0028013512400099083,tissue-resident memory T
334,0.003213314657658395,intermediate T
355,0.0029661366070693473,naïve T
372,0.01400675620004943,proliferative CD4 T
383,0.004037241492955479,naïve T
386,0.003048529290598956,cytotoxic T lymphocytes
387,0.0020598170882425437,cytotoxic T lymphocytes
393,0.007250556150613874,effector memory T
395,0.0028013512400099083,central memory T
410,0.0024717805058910303,tissue-resident memory T
424,0.004202026860014807,tissue-resident memory T
426,0.005932273214138584,cytotoxic T lymphocytes
452,0.003048529290598956,effector memory T
455,0.004202026860014807,regulatory T
460,0.003542885391777162,naïve T
462,0.0034604927082475534,effector memory T
467,0.002718958556480189,intermediate T
480,0.004202026860014807,regulatory T
491,0.0042844195435445265,intermediate T
493,0.006591414682376229,tissue-resident memory T
495,0.005355524429430658,cytotoxic T lymphocytes
498,0.005932273214138584,regulatory T
504,0.0025541731894207498,intermediate T
511,0.003213314657658395,tissue-resident memory T
512,0.0028013512400099083,central memory T
513,0.002718958556480189,effector memory T
514,0.003707670758836601,naïve T
517,0.0036252780753068814,intermediate T
524,0.0031309219741286753,tissue-resident memory T
529,0.003048529290598956,effector memory T
535,0.00387245612589604,central memory T
544,0.003213314657658395,tissue-resident memory T
559,0.002883743923539628,intermediate T
560,0.003048529290598956,central memory T
585,0.0025541731894207498,regulatory T
586,0.003378100024717834,intermediate T
588,0.0016478536705940572,central memory T
592,0.0024717805058910303,intermediate T
593,0.003542885391777162,naïve T
610,0.0022246024553019828,tissue-resident memory T
624,0.0021422097717722632,intermediate T
653,0.0023893878223614218,intermediate T
658,0.0022246024553019828,cytotoxic T lymphocytes
659,0.0028013512400099083,central memory T
737,0.004202026860014807,intermediate T
739,0.004037241492955479,cytotoxic T lymphocytes
743,0.0023069951388317023,tissue-resident memory T
746,0.003378100024717834,cytotoxic T lymphocytes
749,0.002718958556480189,effector memory T
754,0.003542885391777162,regulatory T
755,0.0049435610117821716,intermediate T
763,0.0018126390376534962,tissue-resident memory T
770,0.04136112713191065,proliferative CD4 T
771,0.0023069951388317023,central memory T
