cell_id,pseudotime,cluster_annotation
1,0.46469914410593555,monocyte-derived macrophage
6,0.7236875964432942,VEGFA+ macrophage
7,0.6709161108153823,VEGFA+ macrophage
9,0.46030039551165053,TREM2+ macrophage
14,0.7452644372028151,TREM2+ macrophage
15,0.5800602761748289,VEGFA+ macrophage
16,0.6081033489051132,VEGFA+ macrophage
17,0.5948704197974121,TREM2+ macrophage
20,0.7452644372028151,VEGFA+ macrophage
23,0.7452644372028151,VEGFA+ macrophage
24,0.7452644372028151,VEGFA+ macrophage
28,0.6740072360877201,VEGFA+ macrophage
29,0.7055323171228891,VEGFA+ macrophage
37,0.7452644372028151,VEGFA+ macrophage
38,0.7452644372028151,VEGFA+ macrophage
45,0.7295480502473011,VEGFA+ macrophage
46,0.6208165592341618,monocyte-derived macrophage
47,0.7452644372028151,VEGFA+ macrophage
48,0.6467208168899589,TREM2+ macrophage
49,0.6208165592341618,monocyte-derived macrophage
50,0.7183168840104943,VEGFA+ macrophage
51,0.6364324824937426,monocyte-derived macrophage
53,0.7452644372028151,VEGFA+ macrophage
56,0.6992699916003645,VEGFA+ macrophage
57,0.6208165592341618,monocyte-derived macrophage
60,0.6308242130335939,VEGFA+ macrophage
61,0.6081033489051132,VEGFA+ macrophage
63,0.5995861595101356,monocyte-derived macrophage
68,0.6733126057313126,VEGFA+ macrophage
69,0.7452644372028151,VEGFA+ macrophage
73,0.4736838075960184,TREM2+ macrophage
79,0.7452644372028151,VEGFA+ macrophage
83,0.7452644372028151,VEGFA+ macrophage
90,0.7412138531224605,VEGFA+ macrophage
94,0.4764767579702778,TREM2+ macrophage
97,0.6172311065438683,monocyte-derived macrophage
98,0.500612941895658,TREM2+ macrophage
100,0.6954341253486419,VEGFA+ macrophage
101,0.4714699509311992,TREM2+ macrophage
102,0.7452644372028151,VEGFA+ macrophage
106,0.6394399300474305,VEGFA+ macrophage
107,0.6208165592341618,monocyte-derived macrophage
109,0.560715013612918,monocyte-derived macrophage
110,0.5787375769062746,TREM2+ macrophage
114,0.5428023736481161,monocyte-derived macrophage
116,0.6009637378373005,MARCO+ macrophage
118,0.5901221137607414,VEGFA+ macrophage
120,0.5604101430018784,monocyte-derived macrophage
122,0.6208165592341618,proliferative macrophage
125,0.7452644372028151,TREM2+ macrophage
126,0.6741730245235589,MMP9+ macrophage
131,0.6208165592341618,monocyte-derived macrophage
133,0.6270139669021553,monocyte-derived macrophage
136,0.7452644372028151,VEGFA+ macrophage
137,0.7452644372028151,VEGFA+ macrophage
142,0.5138354749316904,monocyte-derived macrophage
143,0.558569899588517,VEGFA+ macrophage
145,0.5843535415404626,monocyte-derived macrophage
148,0.7452644372028151,VEGFA+ macrophage
151,0.7452644372028151,VEGFA+ macrophage
153,0.7186735925544205,VEGFA+ macrophage
156,0.6081033489051132,VEGFA+ macrophage
157,0.7248797928507725,MARCO+ macrophage
159,0.7385128154454772,VEGFA+ macrophage
169,0.5774770528108052,TREM2+ macrophage
171,0.7452644372028151,VEGFA+ macrophage
177,0.6495130323592416,monocyte-derived macrophage
178,0.7452644372028151,VEGFA+ macrophage
179,0.6072251367492257,VEGFA+ macrophage
180,0.6081033489051132,VEGFA+ macrophage
182,0.46978730440028826,MARCO+ macrophage
184,0.6711119648220852,TREM2+ macrophage
185,0.7452644372028151,VEGFA+ macrophage
186,0.7452644372028151,VEGFA+ macrophage
188,0.5847093006646485,VEGFA+ macrophage
195,0.9084686329806286,TREM2+ macrophage
202,0.7452644372028151,VEGFA+ macrophage
204,0.7452644372028151,VEGFA+ macrophage
206,0.6208165592341618,monocyte-derived macrophage
207,0.43463005502366836,TREM2+ macrophage
208,0.5817368351879302,monocyte-derived macrophage
210,0.6208165592341618,monocyte-derived macrophage
211,0.5709589875111298,TREM2+ macrophage
213,0.4880596041155187,TREM2+ macrophage
220,0.7452644372028151,VEGFA+ macrophage
221,0.7452644372028151,VEGFA+ macrophage
222,0.6861388710022721,VEGFA+ macrophage
223,0.7314370155607399,VEGFA+ macrophage
225,0.5600919453155804,monocyte-derived macrophage
227,0.6068590292676671,monocyte-derived macrophage
231,0.5656391628143419,TREM2+ macrophage
234,0.7452644372028151,VEGFA+ macrophage
235,0.700257717158945,VEGFA+ macrophage
236,0.7452644372028151,TREM2+ macrophage
241,0.6208165592341618,monocyte-derived macrophage
246,0.6081033489051132,VEGFA+ macrophage
247,0.6103349031956923,VEGFA+ macrophage
249,0.6401361162910111,VEGFA+ macrophage
252,0.47144308733346546,monocyte-derived macrophage
253,0.7452644372028151,VEGFA+ macrophage
261,0.7452644372028151,VEGFA+ macrophage
265,0.6081033489051132,VEGFA+ macrophage
269,0.7452644372028151,VEGFA+ macrophage
271,0.7345412866574134,VEGFA+ macrophage
272,0.6372990564910942,VEGFA+ macrophage
274,0.6081033489051132,VEGFA+ macrophage
276,0.6703955538371321,TREM2+ macrophage
277,0.7287287142677618,VEGFA+ macrophage
278,0.7450281392472203,VEGFA+ macrophage
279,0.7379948819244292,VEGFA+ macrophage
281,0.5632128413404062,VEGFA+ macrophage
282,0.6208165592341618,monocyte-derived macrophage
284,0.6851865288199871,VEGFA+ macrophage
286,0.7452644372028151,VEGFA+ macrophage
287,0.7452644372028151,VEGFA+ macrophage
290,0.655177453293613,monocyte-derived macrophage
296,0.6910705565018295,VEGFA+ macrophage
298,0.7452644372028151,VEGFA+ macrophage
304,0.7452644372028151,VEGFA+ macrophage
306,0.7452644372028151,VEGFA+ macrophage
308,0.49157808218970334,VEGFA+ macrophage
313,0.6208165592341618,monocyte-derived macrophage
314,0.6886316828484106,monocyte-derived macrophage
317,0.5559968805109305,TREM2+ macrophage
320,0.6208165592341618,monocyte-derived macrophage
322,0.5600346926909593,patient-specific macrophage
324,0.7452644372028151,VEGFA+ macrophage
326,0.7452644372028151,VEGFA+ macrophage
330,0.5345303672480953,monocyte-derived macrophage
331,0.7452644372028151,VEGFA+ macrophage
332,0.6187023212405924,patient-specific macrophage
336,0.6155688383997313,monocyte-derived macrophage
341,0.6403247239562542,VEGFA+ macrophage
343,0.7452644372028151,VEGFA+ macrophage
350,0.7452644372028151,VEGFA+ macrophage
362,0.7452644372028151,VEGFA+ macrophage
363,0.7050096056099775,TREM2+ macrophage
364,0.5856026078087853,monocyte-derived macrophage
365,0.6457115373200133,VEGFA+ macrophage
366,0.6208165592341618,monocyte-derived macrophage
369,0.5008067173152394,monocyte-derived macrophage
370,0.4626272876903357,TREM2+ macrophage
371,0.7452644372028151,VEGFA+ macrophage
373,0.7452644372028151,VEGFA+ macrophage
375,0.7411856155215812,VEGFA+ macrophage
377,0.6081033489051132,VEGFA+ macrophage
379,0.5827660752459948,TREM2+ macrophage
390,0.7452644372028151,VEGFA+ macrophage
391,0.5844894330053392,MARCO+ macrophage
397,0.7452644372028151,TREM2+ macrophage
400,0.7452644372028151,VEGFA+ macrophage
403,0.6911202021770863,TREM2+ macrophage
413,0.8726176125515842,TREM2+ macrophage
414,0.6493308371037421,monocyte-derived macrophage
415,0.6247281857841338,VEGFA+ macrophage
417,0.7452644372028151,VEGFA+ macrophage
419,0.7452644372028151,VEGFA+ macrophage
422,0.6989635032640309,VEGFA+ macrophage
433,0.7452644372028151,VEGFA+ macrophage
434,0.6081033489051132,VEGFA+ macrophage
437,0.7452644372028151,VEGFA+ macrophage
441,0.5749907170601013,VEGFA+ macrophage
444,0.6550302999878345,TREM2+ macrophage
445,0.7452644372028151,VEGFA+ macrophage
446,0.5237421140652598,VEGFA+ macrophage
451,0.6081033489051132,TREM2+ macrophage
454,0.7452644372028151,VEGFA+ macrophage
457,0.7452644372028151,VEGFA+ macrophage
461,0.6217224959702976,VEGFA+ macrophage
465,0.7452644372028151,VEGFA+ macrophage
466,0.6289048331882419,VEGFA+ macrophage
471,0.6682649874280686,VEGFA+ macrophage
473,0.7452644372028151,VEGFA+ macrophage
476,0.7452644372028151,VEGFA+ macrophage
477,0.6081033489051132,MMP9+ macrophage
479,0.7044517123702086,VEGFA+ macrophage
481,0.7452644372028151,VEGFA+ macrophage
483,0.5780205448469058,VEGFA+ macrophage
485,0.6576669848617708,TREM2+ macrophage
486,0.630928632023303,VEGFA+ macrophage
487,0.7452644372028151,VEGFA+ macrophage
488,0.5952352552510415,TREM2+ macrophage
489,0.6713594554029213,VEGFA+ macrophage
490,0.7452644372028151,VEGFA+ macrophage
494,0.6208165592341618,monocyte-derived macrophage
497,0.6081033489051132,VEGFA+ macrophage
499,0.6851478329939722,VEGFA+ macrophage
500,0.5110780644825162,MMP9+ macrophage
