cell_id,pseudotime,cluster_annotation
0,13.577866341211,effector memory T
18,13.2908560121233,naïve T
21,13.7280970136131,regulatory T
31,13.7381095842486,regulatory T
33,12.6485772991272,regulatory T
36,13.0704534100004,central memory T
72,13.5778664035326,naïve T
74,14.0906593306852,intermediate T
81,14.0377831746062,tissue-resident memory T
82,15.7972412021654,proliferative CD4 T
88,14.9233021482605,intermediate T
89,13.5778664658542,effector memory T
96,12.9738933420268,naïve T
115,13.5778665281758,central memory T
124,18.3895518998701,proliferative CD4 T
135,11.6155699136158,regulatory T
147,13.5778665904974,tissue-resident memory T
155,14.0901086609906,central memory T
160,13.5778666528189,effector memory T
161,12.862333979228,intermediate T
167,13.5778667151405,tissue-resident memory T
172,14.0568545579764,regulatory T
175,12.8482763979954,naïve T
183,13.5778667774621,cytotoxic T lymphocytes
192,16.8364984556675,proliferative CD4 T
196,13.5778668397837,effector memory T
200,13.5778669021053,cytotoxic T lymphocytes
218,12.5380679823068,intermediate T
219,13.5778669644269,effector memory T
230,13.8484037203658,cytotoxic T lymphocytes
239,13.1534889401855,intermediate T
242,13.7237213299764,tissue-resident memory T
251,13.5778670267484,tissue-resident memory T
254,18.3899232107675,proliferative CD4 T
255,13.833278182552,central memory T
256,12.6047841832711,naïve T
260,14.9233022105821,intermediate T
273,13.6563205488061,tissue-resident memory T
294,13.57786708907,tissue-resident memory T
297,13.5778671513916,tissue-resident memory T
302,13.5778672137132,effector memory T
303,14.7156855123831,central memory T
318,13.5778672760348,tissue-resident memory T
327,16.8050648834356,proliferative CD4 T
328,13.5778673383564,tissue-resident memory T
334,14.0769293294543,intermediate T
355,13.5778674006779,naïve T
372,16.6907931057417,proliferative CD4 T
383,12.6187621097209,naïve T
386,13.5778674629995,cytotoxic T lymphocytes
387,13.817888974772,cytotoxic T lymphocytes
393,13.0771619364606,effector memory T
395,14.0939306846522,central memory T
410,13.5778675253211,tissue-resident memory T
424,13.5778675876427,tissue-resident memory T
426,12.5380680446284,cytotoxic T lymphocytes
452,13.5778676499643,effector memory T
455,12.7521717623029,regulatory T
460,12.7818639767429,naïve T
462,13.0558989837387,effector memory T
467,13.0723517121219,intermediate T
480,12.9738934043484,regulatory T
491,13.0474480044747,intermediate T
493,13.7122599190817,tissue-resident memory T
495,12.8743094853399,cytotoxic T lymphocytes
498,13.5778677122859,regulatory T
504,14.6701536156067,intermediate T
511,13.5844614561899,tissue-resident memory T
512,14.0633377647724,central memory T
513,13.5778677746074,effector memory T
514,14.9022589432041,naïve T
517,13.8512112654296,intermediate T
524,13.577867836929,tissue-resident memory T
529,14.1021058803768,effector memory T
535,13.5778678992506,central memory T
544,13.5778679615722,tissue-resident memory T
559,14.9065522502723,intermediate T
560,13.0474480667963,central memory T
585,13.2115329575881,regulatory T
586,13.0502070478263,intermediate T
588,13.0574208715872,central memory T
592,13.6313537032608,intermediate T
593,13.0474481291179,naïve T
610,13.5778680238938,tissue-resident memory T
624,13.836382606581,intermediate T
653,13.8463311010343,intermediate T
658,14.0769051235894,cytotoxic T lymphocytes
659,14.0384533033864,central memory T
737,13.8279643923678,intermediate T
739,13.6595181992029,cytotoxic T lymphocytes
