cell_id,pseudotime,cluster_annotation
1,0.07489575445652008,monocyte-derived macrophage
6,0.13559892773628235,VEGFA+ macrophage
7,0.11710211634635925,VEGFA+ macrophage
9,0.06308253854513168,TREM2+ macrophage
14,0.1287776380777359,TREM2+ macrophage
15,0.11347085982561111,VEGFA+ macrophage
16,0.1315445750951767,VEGFA+ macrophage
17,0.12500011920928955,TREM2+ macrophage
20,0.14087410271167755,VEGFA+ macrophage
23,0.1444425880908966,VEGFA+ macrophage
24,0.14388640224933624,VEGFA+ macrophage
28,0.1368885189294815,VEGFA+ macrophage
29,0.1385921835899353,VEGFA+ macrophage
37,0.15146948397159576,VEGFA+ macrophage
38,0.14117394387722015,VEGFA+ macrophage
45,0.13277578353881836,VEGFA+ macrophage
46,0.046952713280916214,monocyte-derived macrophage
47,0.1456482708454132,VEGFA+ macrophage
48,0.10911772400140762,TREM2+ macrophage
49,0.04391592741012573,monocyte-derived macrophage
50,0.13531701266765594,VEGFA+ macrophage
51,0.027105683460831642,monocyte-derived macrophage
53,0.14036770164966583,VEGFA+ macrophage
56,0.1264764964580536,VEGFA+ macrophage
57,0.019853385165333748,monocyte-derived macrophage
60,0.13296745717525482,VEGFA+ macrophage
61,0.1273629516363144,VEGFA+ macrophage
63,0.04687175899744034,monocyte-derived macrophage
68,0.12400463223457336,VEGFA+ macrophage
69,0.15032480657100677,VEGFA+ macrophage
73,0.07380682229995728,TREM2+ macrophage
79,0.1426278054714203,VEGFA+ macrophage
83,0.1286732256412506,VEGFA+ macrophage
90,0.12610125541687012,VEGFA+ macrophage
94,0.09192200750112534,TREM2+ macrophage
97,0.04355047270655632,monocyte-derived macrophage
98,0.07393945753574371,TREM2+ macrophage
100,0.1420752853155136,VEGFA+ macrophage
101,0.1125737875699997,TREM2+ macrophage
102,0.12560993432998657,VEGFA+ macrophage
106,0.13220667839050293,VEGFA+ macrophage
107,0.04173737391829491,monocyte-derived macrophage
109,0.04550822451710701,monocyte-derived macrophage
