cell_id,pseudotime,cluster_annotation
0,0.022104976698756218,effector memory T
18,0.03068181313574314,naïve T
21,0.02119915932416916,regulatory T
31,0.022567393258213997,regulatory T
33,0.037579718977212906,regulatory T
36,0.022854967042803764,central memory T
72,0.025700001046061516,naïve T
74,0.020299304276704788,intermediate T
81,0.013182874768972397,tissue-resident memory T
82,0.10283639281988144,proliferative CD4 T
88,0.010986631736159325,intermediate T
89,0.024388626217842102,effector memory T
96,0.038738690316677094,naïve T
115,0.021469663828611374,central memory T
124,0.10731133073568344,proliferative CD4 T
135,0.13680367171764374,regulatory T
147,0.022930271923542023,tissue-resident memory T
155,0.02409343235194683,central memory T
160,0.021888241171836853,effector memory T
161,0.029777297750115395,intermediate T
167,0.02039281651377678,tissue-resident memory T
172,0.026914456859230995,regulatory T
175,0.03304477035999298,naïve T
183,0.03062548115849495,cytotoxic T lymphocytes
192,0.08425136655569077,proliferative CD4 T
196,0.0228729285299778,effector memory T
200,0.020189719274640083,cytotoxic T lymphocytes
218,0.029596498236060143,intermediate T
219,0.022765638306736946,effector memory T
230,0.02245670184493065,cytotoxic T lymphocytes
239,0.02844223938882351,intermediate T
242,0.020748065784573555,tissue-resident memory T
251,0.025730576366186142,tissue-resident memory T
254,0.1044977679848671,proliferative CD4 T
255,0.0194439347833395,central memory T
256,0.029163233935832977,naïve T
260,0.00988716259598732,intermediate T
273,0.023903632536530495,tissue-resident memory T
294,0.02455529198050499,tissue-resident memory T
297,0.02201133966445923,tissue-resident memory T
302,0.03842807561159134,effector memory T
303,0.02522597648203373,central memory T
318,0.02084539271891117,tissue-resident memory T
327,0.0763372927904129,proliferative CD4 T
328,0.021487953141331673,tissue-resident memory T
334,0.017610950395464897,intermediate T
355,0.024814067408442497,naïve T
372,0.08458326011896133,proliferative CD4 T
383,0.03184884786605835,naïve T
386,0.021747026592493057,cytotoxic T lymphocytes
387,0.019428113475441933,cytotoxic T lymphocytes
393,0.025913506746292114,effector memory T
395,0.02319933846592903,central memory T
410,0.019079124554991722,tissue-resident memory T
424,0.023914288729429245,tissue-resident memory T
426,0.026578355580568314,cytotoxic T lymphocytes
452,0.02621966227889061,effector memory T
455,0.0445987842977047,regulatory T
460,0.03301145136356354,naïve T
462,0.027935728430747986,effector memory T
467,0.022243265062570572,intermediate T
480,0.041174717247486115,regulatory T
491,0.025772344321012497,intermediate T
493,0.026903478428721428,tissue-resident memory T
495,0.029597796499729156,cytotoxic T lymphocytes
498,0.022939644753932953,regulatory T
504,0.028683282434940338,intermediate T
511,0.019962284713983536,tissue-resident memory T
512,0.022072186693549156,central memory T
513,0.017172392457723618,effector memory T
514,0.022336915135383606,naïve T
517,0.023954123258590698,intermediate T
524,0.022317100316286087,tissue-resident memory T
529,0.02105206437408924,effector memory T
535,0.018976379185914993,central memory T
544,0.024689989164471626,tissue-resident memory T
559,0.009875322692096233,intermediate T
560,0.02565767429769039,central memory T
585,0.029862111434340477,regulatory T
586,0.02660207264125347,intermediate T
588,0.026469212025403976,central memory T
592,0.02110055461525917,intermediate T
593,0.026169748976826668,naïve T
610,0.024108365178108215,tissue-resident memory T
624,0.024896498769521713,intermediate T
653,0.025457940995693207,intermediate T
658,0.022734539583325386,cytotoxic T lymphocytes
659,0.02210131660103798,central memory T
737,0.02536335401237011,intermediate T
739,0.027457648888230324,cytotoxic T lymphocytes
743,0.027523402124643326,tissue-resident memory T
746,0.018717465922236443,cytotoxic T lymphocytes
749,0.014288562349975109,effector memory T
754,0.031012263149023056,regulatory T
755,0.02913348376750946,intermediate T
763,0.01894933171570301,tissue-resident memory T
770,0.10618873685598373,proliferative CD4 T
771,0.024726279079914093,central memory T
796,0.022219140082597733,tissue-resident memory T
801,0.033841829746961594,central memory T
805,0.0223907008767128,cytotoxic T lymphocytes
808,0.025164980441331863,tissue-resident memory T
812,0.027056971564888954,tissue-resident memory T
819,0.021408943459391594,tissue-resident memory T
821,0.022034645080566406,tissue-resident memory T
826,0.024117080494761467,tissue-resident memory T
832,0.022216031327843666,tissue-resident memory T
841,0.01750187762081623,cytotoxic T lymphocytes
846,0.021450499072670937,cytotoxic T lymphocytes
847,0.02820277214050293,intermediate T
851,0.025176169350743294,effector memory T
854,0.100624680519104,proliferative CD4 T
874,0.023508192971348763,intermediate T
880,0.022683540359139442,tissue-resident memory T
884,0.0265602208673954,intermediate T
899,0.030204469338059425,naïve T
902,0.01903069205582142,tissue-resident memory T
910,0.017312923446297646,effector memory T
923,0.0847340077161789,proliferative CD4 T
928,0.022732483223080635,tissue-resident memory T
930,0.024310892447829247,effector memory T
932,0.0489831268787384,tissue-resident memory T
938,0.02641034685075283,tissue-resident memory T
947,0.08501861244440079,proliferative CD4 T
950,0.10003988444805145,proliferative CD4 T
951,0.016447389498353004,central memory T
968,0.10934673994779587,proliferative CD4 T
976,0.017983632162213326,effector memory T
980,0.021741682663559914,tissue-resident memory T
1003,0.07071574777364731,proliferative CD4 T
1012,0.0202766265720129,regulatory T
1021,0.025922851637005806,naïve T
1029,0.031224165111780167,intermediate T
1063,0.026940668001770973,cytotoxic T lymphocytes
1084,0.014872284606099129,cytotoxic T lymphocytes
1092,0.10675226151943207,proliferative CD4 T
1104,0.021211709827184677,regulatory T
1113,0.03441297635436058,intermediate T
1119,0.022100236266851425,central memory T
