cell_id,pseudotime,cluster_annotation
1,0.391236396974994,monocyte-derived macrophage
6,0.498692443181148,VEGFA+ macrophage
7,0.490985770443622,VEGFA+ macrophage
9,0.430686887768453,TREM2+ macrophage
14,0.490985770443622,TREM2+ macrophage
15,0.47932779657964497,VEGFA+ macrophage
16,0.492195495040889,VEGFA+ macrophage
17,0.490985770443622,TREM2+ macrophage
20,0.490985770443622,VEGFA+ macrophage
23,0.490985770443622,VEGFA+ macrophage
24,0.500201720926835,VEGFA+ macrophage
28,0.480157130123962,VEGFA+ macrophage
29,0.48675925356346506,VEGFA+ macrophage
37,0.48511997664641004,VEGFA+ macrophage
38,0.490985770443622,VEGFA+ macrophage
45,0.512594365466901,VEGFA+ macrophage
46,0.40498135272312397,monocyte-derived macrophage
47,0.47826472975732404,VEGFA+ macrophage
48,0.500201720926835,TREM2+ macrophage
49,0.389754083669569,monocyte-derived macrophage
50,0.490985770443622,VEGFA+ macrophage
51,0.36095111586656503,monocyte-derived macrophage
53,0.518081349311704,VEGFA+ macrophage
56,0.490985770443622,VEGFA+ macrophage
57,0.32402039052783604,monocyte-derived macrophage
60,0.500201720926835,VEGFA+ macrophage
61,0.469110813940662,VEGFA+ macrophage
63,0.38462351599589994,monocyte-derived macrophage
68,0.47707007775223,VEGFA+ macrophage
69,0.481815570115969,VEGFA+ macrophage
73,0.399799908373341,TREM2+ macrophage
79,0.489080630570245,VEGFA+ macrophage
83,0.490985770443622,VEGFA+ macrophage
90,0.490985770443622,VEGFA+ macrophage
94,0.483597281987328,TREM2+ macrophage
97,0.35402386398656105,monocyte-derived macrophage
98,0.49681634966436405,TREM2+ macrophage
100,0.47263007124005196,VEGFA+ macrophage
101,0.504487140192845,TREM2+ macrophage
102,0.490985770443622,VEGFA+ macrophage
106,0.463372281486909,VEGFA+ macrophage
107,0.42761093138821304,monocyte-derived macrophage
109,0.389413141604379,monocyte-derived macrophage
110,0.47211526704322204,TREM2+ macrophage
114,0.374396111161752,monocyte-derived macrophage
116,0.42548355330876797,MARCO+ macrophage
118,0.458740191044972,VEGFA+ macrophage
120,0.403990953315594,monocyte-derived macrophage
122,0.37422422657446797,proliferative macrophage
125,0.49116417596643,TREM2+ macrophage
126,0.474747639315206,MMP9+ macrophage
131,0.32714727677920197,monocyte-derived macrophage
133,0.31892507537064396,monocyte-derived macrophage
136,0.481815570115969,VEGFA+ macrophage
137,0.509501051265813,VEGFA+ macrophage
142,0.352421910893018,monocyte-derived macrophage
143,0.443273765732594,VEGFA+ macrophage
145,0.365294335810914,monocyte-derived macrophage
148,0.481815570115969,VEGFA+ macrophage
151,0.47263007124005196,VEGFA+ macrophage
153,0.49609984871741697,VEGFA+ macrophage
156,0.481815570115969,VEGFA+ macrophage
157,0.517183392632856,MARCO+ macrophage
159,0.495560203248431,VEGFA+ macrophage
169,0.468194090369332,TREM2+ macrophage
171,0.490985770443622,VEGFA+ macrophage
177,0.32144084794306005,monocyte-derived macrophage
178,0.490985770443622,VEGFA+ macrophage
179,0.4581655093185,VEGFA+ macrophage
180,0.47263007124005196,VEGFA+ macrophage
182,0.345216169139841,MARCO+ macrophage
184,0.47077177237631795,TREM2+ macrophage
185,0.490985770443622,VEGFA+ macrophage
186,0.490985770443622,VEGFA+ macrophage
188,0.48549287473966296,VEGFA+ macrophage
195,0.592337745726481,TREM2+ macrophage
202,0.490985770443622,VEGFA+ macrophage
204,0.490985770443622,VEGFA+ macrophage
206,0.426624235444629,monocyte-derived macrophage
207,0.43965315475894995,TREM2+ macrophage
208,0.41504728269620295,monocyte-derived macrophage
210,0.34022956391666503,monocyte-derived macrophage
211,0.490985770443622,TREM2+ macrophage
213,0.465111232118379,TREM2+ macrophage
220,0.509513081547919,VEGFA+ macrophage
221,0.500201720926835,VEGFA+ macrophage
222,0.481815570115969,VEGFA+ macrophage
223,0.48800844093835705,VEGFA+ macrophage
225,0.41504728269620295,monocyte-derived macrophage
227,0.38655824538829,monocyte-derived macrophage
231,0.494500489058157,TREM2+ macrophage
234,0.500201720926835,VEGFA+ macrophage
235,0.490985770443622,VEGFA+ macrophage
236,0.500201720926835,TREM2+ macrophage
241,0.30838680529924,monocyte-derived macrophage
246,0.45193262866208095,VEGFA+ macrophage
247,0.46603377576986404,VEGFA+ macrophage
249,0.483705482531831,VEGFA+ macrophage
252,0.39532719015684603,monocyte-derived macrophage
253,0.485955371610968,VEGFA+ macrophage
261,0.48579134422304404,VEGFA+ macrophage
265,0.45347083100599395,VEGFA+ macrophage
269,0.490985770443622,VEGFA+ macrophage
271,0.46624544186371797,VEGFA+ macrophage
272,0.509513081547919,VEGFA+ macrophage
274,0.47246665969228896,VEGFA+ macrophage
276,0.5217662761613411,TREM2+ macrophage
277,0.473082022062694,VEGFA+ macrophage
278,0.49244783769734,VEGFA+ macrophage
279,0.48112966121674805,VEGFA+ macrophage
281,0.47263007124005196,VEGFA+ macrophage
282,0.38290840155622496,monocyte-derived macrophage
284,0.47263007124005196,VEGFA+ macrophage
286,0.490985770443622,VEGFA+ macrophage
287,0.509513081547919,VEGFA+ macrophage
290,0.46004373852008695,monocyte-derived macrophage
296,0.481815570115969,VEGFA+ macrophage
298,0.49746869976065,VEGFA+ macrophage
304,0.49007876222817104,VEGFA+ macrophage
306,0.500201720926835,VEGFA+ macrophage
308,0.44880108844466604,VEGFA+ macrophage
313,0.409582125819977,monocyte-derived macrophage
314,0.453999056419471,monocyte-derived macrophage
317,0.46687471024487603,TREM2+ macrophage
320,0.38099024592671304,monocyte-derived macrophage
322,0.453999056419471,patient-specific macrophage
324,0.509513081547919,VEGFA+ macrophage
326,0.481815570115969,VEGFA+ macrophage
330,0.39399554249993096,monocyte-derived macrophage
331,0.492853976799284,VEGFA+ macrophage
332,0.48557191866443905,patient-specific macrophage
336,0.387025963647327,monocyte-derived macrophage
341,0.47410913883096995,VEGFA+ macrophage
343,0.485894734804464,VEGFA+ macrophage
350,0.47653782218364305,VEGFA+ macrophage
362,0.490985770443622,VEGFA+ macrophage
363,0.481815570115969,TREM2+ macrophage
364,0.43481641544791505,monocyte-derived macrophage
365,0.47263007124005196,VEGFA+ macrophage
366,0.36009406366958896,monocyte-derived macrophage
369,0.42499963708659705,monocyte-derived macrophage
370,0.41504728269620295,TREM2+ macrophage
371,0.500201720926835,VEGFA+ macrophage
373,0.500201720926835,VEGFA+ macrophage
375,0.47263007124005196,VEGFA+ macrophage
377,0.46739394244099597,VEGFA+ macrophage
379,0.45497560642978097,TREM2+ macrophage
390,0.500201720926835,VEGFA+ macrophage
391,0.43574353816226996,MARCO+ macrophage
397,0.490985770443622,TREM2+ macrophage
400,0.490985770443622,VEGFA+ macrophage
403,0.48161836197227503,TREM2+ macrophage
413,0.530571594841148,TREM2+ macrophage
414,0.42499963708659705,monocyte-derived macrophage
415,0.500201720926835,VEGFA+ macrophage
417,0.47263007124005196,VEGFA+ macrophage
419,0.490985770443622,VEGFA+ macrophage
422,0.481815570115969,VEGFA+ macrophage
433,0.500201720926835,VEGFA+ macrophage
434,0.486774735694834,VEGFA+ macrophage
437,0.484000521057106,VEGFA+ macrophage
441,0.453999056419471,VEGFA+ macrophage
444,0.48832125142261795,TREM2+ macrophage
445,0.493529342670573,VEGFA+ macrophage
446,0.426348174506916,VEGFA+ macrophage
451,0.472146200221342,TREM2+ macrophage
454,0.490985770443622,VEGFA+ macrophage
457,0.500201720926835,VEGFA+ macrophage
461,0.481815570115969,VEGFA+ macrophage
465,0.490985770443622,VEGFA+ macrophage
466,0.509513081547919,VEGFA+ macrophage
471,0.490985770443622,VEGFA+ macrophage
473,0.490985770443622,VEGFA+ macrophage
476,0.481815570115969,VEGFA+ macrophage
477,0.484868412660336,MMP9+ macrophage
479,0.481815570115969,VEGFA+ macrophage
481,0.490985770443622,VEGFA+ macrophage
483,0.44564833774244395,VEGFA+ macrophage
485,0.47263007124005196,TREM2+ macrophage
486,0.47263007124005196,VEGFA+ macrophage
487,0.481815570115969,VEGFA+ macrophage
488,0.509513081547919,TREM2+ macrophage
489,0.47263007124005196,VEGFA+ macrophage
490,0.500201720926835,VEGFA+ macrophage
494,0.384817780051829,monocyte-derived macrophage
497,0.453999056419471,VEGFA+ macrophage
499,0.490985770443622,VEGFA+ macrophage
500,0.43015953446477495,MMP9+ macrophage
502,0.464456501877344,TREM2+ macrophage
509,0.490985770443622,VEGFA+ macrophage
510,0.358054184836595,monocyte-derived macrophage
516,0.47263007124005196,TREM2+ macrophage
518,0.481815570115969,VEGFA+ macrophage
521,0.481815570115969,VEGFA+ macrophage
522,0.500201720926835,TREM2+ macrophage
525,0.49516908551135397,VEGFA+ macrophage
540,0.490985770443622,VEGFA+ macrophage
543,0.47849000501692995,VEGFA+ macrophage
547,0.481815570115969,VEGFA+ macrophage
549,0.453999056419471,VEGFA+ macrophage
550,0.490985770443622,VEGFA+ macrophage
551,0.466478820126109,VEGFA+ macrophage
556,0.490985770443622,TREM2+ macrophage
564,0.467652925236425,TREM2+ macrophage
566,0.474028627779727,VEGFA+ macrophage
567,0.47263007124005196,VEGFA+ macrophage
568,0.5288417894269519,MARCO+ macrophage
570,0.481815570115969,VEGFA+ macrophage
575,0.503626993730375,VEGFA+ macrophage
576,0.481815570115969,VEGFA+ macrophage
577,0.481815570115969,VEGFA+ macrophage
578,0.5037061968694849,VEGFA+ macrophage
594,0.490985770443622,VEGFA+ macrophage
596,0.47721451944154303,VEGFA+ macrophage
597,0.48338563123296896,VEGFA+ macrophage
599,0.40498135272312397,monocyte-derived macrophage
600,0.354087384532736,monocyte-derived macrophage
601,0.47263007124005196,VEGFA+ macrophage
603,0.500201720926835,VEGFA+ macrophage
608,0.47263007124005196,VEGFA+ macrophage
611,0.47263007124005196,VEGFA+ macrophage
614,0.481815570115969,VEGFA+ macrophage
615,0.47915657791130695,VEGFA+ macrophage
616,0.481815570115969,VEGFA+ macrophage
618,0.47515801482153697,MARCO+ macrophage
620,0.45444035612410905,VEGFA+ macrophage
629,0.44999058099513,MMP9+ macrophage
632,0.481815570115969,TREM2+ macrophage
634,0.463372281486909,VEGFA+ macrophage
635,0.47263007124005196,TREM2+ macrophage
636,0.471568571463045,VEGFA+ macrophage
637,0.38462351599589994,monocyte-derived macrophage
640,0.490985770443622,TREM2+ macrophage
641,0.43708763663123795,TREM2+ macrophage
643,0.490985770443622,VEGFA+ macrophage
644,0.490985770443622,VEGFA+ macrophage
648,0.509513081547919,VEGFA+ macrophage
649,0.490985770443622,VEGFA+ macrophage
652,0.364180600625043,monocyte-derived macrophage
654,0.500201720926835,VEGFA+ macrophage
661,0.34466307259293405,monocyte-derived macrophage
662,0.49684543830877204,VEGFA+ macrophage
664,0.490985770443622,VEGFA+ macrophage
666,0.346083530336889,monocyte-derived macrophage
667,0.476087807499589,VEGFA+ macrophage
669,0.388651259867704,monocyte-derived macrophage
670,0.485445747666189,MARCO+ macrophage
672,0.43952310053701804,VEGFA+ macrophage
673,0.467601024292731,TREM2+ macrophage
675,0.353465796979883,monocyte-derived macrophage
677,0.416309354937317,VEGFA+ macrophage
678,0.495187542228099,VEGFA+ macrophage
679,0.481815570115969,VEGFA+ macrophage
681,0.490985770443622,VEGFA+ macrophage
686,0.44731935259921496,TREM2+ macrophage
688,0.49446951856076504,VEGFA+ macrophage
694,0.464296674933817,VEGFA+ macrophage
696,0.500201720926835,VEGFA+ macrophage
697,0.47880498241777003,VEGFA+ macrophage
698,0.47263007124005196,VEGFA+ macrophage
700,0.489595659765371,VEGFA+ macrophage
703,0.490985770443622,VEGFA+ macrophage
704,0.463372281486909,VEGFA+ macrophage
706,0.490985770443622,VEGFA+ macrophage
707,0.35258166422413095,monocyte-derived macrophage
709,0.347887514940326,monocyte-derived macrophage
711,0.364180600625043,monocyte-derived macrophage
712,0.33549542429648704,monocyte-derived macrophage
715,0.467247909881911,VEGFA+ macrophage
718,0.490985770443622,VEGFA+ macrophage
719,0.492322472468966,VEGFA+ macrophage
721,0.500201720926835,TREM2+ macrophage
722,0.463372281486909,VEGFA+ macrophage
725,0.453999056419471,VEGFA+ macrophage
727,0.500201720926835,patient-specific macrophage
731,0.509513081547919,VEGFA+ macrophage
735,0.47263007124005196,VEGFA+ macrophage
740,0.44592454014217,TREM2+ macrophage
744,0.488523491281595,VEGFA+ macrophage
745,0.370212338363638,monocyte-derived macrophage
748,0.47263007124005196,VEGFA+ macrophage
750,0.386020655295336,monocyte-derived macrophage
752,0.492156123306957,VEGFA+ macrophage
753,0.5024768291139681,VEGFA+ macrophage
757,0.38896688943597,monocyte-derived macrophage
758,0.490985770443622,VEGFA+ macrophage
759,0.39418330160203796,monocyte-derived macrophage
775,0.420148189110216,TREM2+ macrophage
776,0.481815570115969,VEGFA+ macrophage
778,0.47457959355787305,VEGFA+ macrophage
779,0.500201720926835,VEGFA+ macrophage
781,0.49984771436269704,VEGFA+ macrophage
782,0.40498135272312397,TREM2+ macrophage
783,0.490985770443622,VEGFA+ macrophage
784,0.463372281486909,monocyte-derived macrophage
788,0.487359399309239,VEGFA+ macrophage
789,0.30515480592352995,monocyte-derived macrophage
790,0.47263007124005196,VEGFA+ macrophage
793,0.47770665674869905,MARCO+ macrophage
795,0.481815570115969,VEGFA+ macrophage
797,0.489762572035086,TREM2+ macrophage
798,0.387765668842324,monocyte-derived macrophage
802,0.481815570115969,VEGFA+ macrophage
806,0.42197936697474303,MARCO+ macrophage
807,0.368164518635385,monocyte-derived macrophage
809,0.500201720926835,MARCO+ macrophage
810,0.481815570115969,VEGFA+ macrophage
811,0.49508690072654704,VEGFA+ macrophage
813,0.500201720926835,VEGFA+ macrophage
814,0.35824616525907305,MARCO+ macrophage
816,0.481815570115969,VEGFA+ macrophage
817,0.47263007124005196,VEGFA+ macrophage
818,0.47263007124005196,VEGFA+ macrophage
820,0.45844467930501,TREM2+ macrophage
822,0.39013324977848995,TREM2+ macrophage
828,0.475633841971819,VEGFA+ macrophage
829,0.481815570115969,VEGFA+ macrophage
831,0.46008035766606903,monocyte-derived macrophage
833,0.490985770443622,VEGFA+ macrophage
836,0.47263007124005196,VEGFA+ macrophage
839,0.49215363573107396,VEGFA+ macrophage
842,0.490985770443622,VEGFA+ macrophage
843,0.483746861823965,VEGFA+ macrophage
844,0.473177638483701,TREM2+ macrophage
848,0.463372281486909,VEGFA+ macrophage
849,0.33029433208358705,monocyte-derived macrophage
856,0.47942790777933,VEGFA+ macrophage
858,0.517739594746757,VEGFA+ macrophage
862,0.41575581599146705,monocyte-derived macrophage
863,0.463372281486909,VEGFA+ macrophage
864,0.485287567026491,VEGFA+ macrophage
866,0.416689337271012,proliferative macrophage
867,0.501290889775019,VEGFA+ macrophage
872,0.481815570115969,VEGFA+ macrophage
873,0.46648156902524696,MARCO+ macrophage
876,0.41101967280569696,VEGFA+ macrophage
877,0.482932677824237,VEGFA+ macrophage
878,0.494441734845935,VEGFA+ macrophage
882,0.500201720926835,VEGFA+ macrophage
883,0.463372281486909,VEGFA+ macrophage
887,0.490985770443622,TREM2+ macrophage
889,0.35715368204350495,monocyte-derived macrophage
891,0.47263007124005196,TREM2+ macrophage
892,0.481815570115969,VEGFA+ macrophage
894,0.484288266187031,TREM2+ macrophage
896,0.481815570115969,VEGFA+ macrophage
900,0.500201720926835,TREM2+ macrophage
903,0.481815570115969,VEGFA+ macrophage
905,0.509513081547919,TREM2+ macrophage
907,0.481815570115969,VEGFA+ macrophage
908,0.453999056419471,VEGFA+ macrophage
909,0.522476628377632,TREM2+ macrophage
912,0.490985770443622,VEGFA+ macrophage
913,0.481815570115969,VEGFA+ macrophage
914,0.33390637833273396,MARCO+ macrophage
915,0.49963115369035105,VEGFA+ macrophage
918,0.352817859347743,monocyte-derived macrophage
920,0.47263007124005196,VEGFA+ macrophage
921,0.415712927769723,monocyte-derived macrophage
926,0.47263007124005196,VEGFA+ macrophage
929,0.394829635506344,monocyte-derived macrophage
931,0.48571803021592397,VEGFA+ macrophage
939,0.38165857176252105,monocyte-derived macrophage
944,0.42245699410914095,monocyte-derived macrophage
945,0.509513081547919,VEGFA+ macrophage
946,0.500901852321861,TREM2+ macrophage
953,0.500201720926835,VEGFA+ macrophage
954,0.288439519211404,monocyte-derived macrophage
955,0.374396111161752,MMP9+ macrophage
957,0.490860545315713,VEGFA+ macrophage
959,0.45546657141050295,VEGFA+ macrophage
962,0.404784661589072,monocyte-derived macrophage
963,0.495667657860967,MARCO+ macrophage
965,0.481815570115969,TREM2+ macrophage
966,0.47487136785580897,VEGFA+ macrophage
967,0.463372281486909,VEGFA+ macrophage
979,0.490985770443622,VEGFA+ macrophage
982,0.46478339180781203,MMP9+ macrophage
983,0.453999056419471,VEGFA+ macrophage
985,0.516888508289588,VEGFA+ macrophage
987,0.47263007124005196,VEGFA+ macrophage
988,0.517894980422887,TREM2+ macrophage
989,0.463372281486909,VEGFA+ macrophage
990,0.481815570115969,VEGFA+ macrophage
993,0.47263007124005196,VEGFA+ macrophage
994,0.481815570115969,VEGFA+ macrophage
995,0.518946738187273,TREM2+ macrophage
999,0.46115430006244396,VEGFA+ macrophage
1005,0.49480073762478405,VEGFA+ macrophage
1007,0.502880842430018,VEGFA+ macrophage
1008,0.503209575698662,VEGFA+ macrophage
1009,0.498180258283206,TREM2+ macrophage
1015,0.517324680523469,VEGFA+ macrophage
1016,0.460058939191069,monocyte-derived macrophage
1018,0.449263800196785,VEGFA+ macrophage
1019,0.46295446546672403,VEGFA+ macrophage
1020,0.459793405320263,MMP9+ macrophage
1023,0.47263007124005196,TREM2+ macrophage
1024,0.481815570115969,TREM2+ macrophage
1026,0.372919718662876,monocyte-derived macrophage
1027,0.500201720926835,VEGFA+ macrophage
1030,0.32843962235064905,monocyte-derived macrophage
1032,0.354021657587,monocyte-derived macrophage
1035,0.45411203190807004,proliferative macrophage
1036,0.500201720926835,VEGFA+ macrophage
1038,0.498547117328357,VEGFA+ macrophage
1040,0.39948447852391,monocyte-derived macrophage
1044,0.47263007124005196,VEGFA+ macrophage
1048,0.503687589660101,VEGFA+ macrophage
1050,0.491558897060577,VEGFA+ macrophage
1051,0.47939747642221897,VEGFA+ macrophage
1052,0.490985770443622,TREM2+ macrophage
1053,0.488875997115244,VEGFA+ macrophage
1054,0.36013814181387804,monocyte-derived macrophage
1056,0.49285313805934805,VEGFA+ macrophage
1057,0.48803485088571297,VEGFA+ macrophage
1058,0.490985770443622,VEGFA+ macrophage
1059,0.380810852960362,monocyte-derived macrophage
1060,0.48702791731123996,TREM2+ macrophage
1061,0.44706678886698203,monocyte-derived macrophage
1062,0.396105370404084,monocyte-derived macrophage
1065,0.49712852391803,VEGFA+ macrophage
1068,0.47263007124005196,VEGFA+ macrophage
1069,0.500201720926835,VEGFA+ macrophage
1070,0.37294606499359995,monocyte-derived macrophage
1074,0.495803086212554,VEGFA+ macrophage
1075,0.47988571397626,VEGFA+ macrophage
1077,0.47263007124005196,VEGFA+ macrophage
1078,0.481815570115969,VEGFA+ macrophage
1082,0.47263007124005196,VEGFA+ macrophage
1088,0.453310817838958,VEGFA+ macrophage
1093,0.481815570115969,TREM2+ macrophage
1094,0.500201720926835,VEGFA+ macrophage
1095,0.490985770443622,VEGFA+ macrophage
1097,0.490985770443622,VEGFA+ macrophage
1106,0.500201720926835,VEGFA+ macrophage
1114,0.42914304034472495,MMP9+ macrophage
1116,0.48604402188500695,VEGFA+ macrophage
1122,0.498378254329108,VEGFA+ macrophage
1127,0.49306393997506903,VEGFA+ macrophage
1130,0.49785552668588995,VEGFA+ macrophage
1131,0.5032565017767849,TREM2+ macrophage
1135,0.47263007124005196,VEGFA+ macrophage
1136,0.34949793490675496,monocyte-derived macrophage
1138,0.453999056419471,monocyte-derived macrophage
1140,0.481815570115969,VEGFA+ macrophage
1141,0.481815570115969,VEGFA+ macrophage
1144,0.502719446033759,VEGFA+ macrophage
1147,0.48387528975180805,VEGFA+ macrophage
1148,0.48608255759417296,VEGFA+ macrophage
1149,0.47263007124005196,VEGFA+ macrophage
1150,0.473574567233228,VEGFA+ macrophage
1151,0.481815570115969,VEGFA+ macrophage
1152,0.51205257023173,VEGFA+ macrophage
1153,0.41043395169764496,monocyte-derived macrophage
1155,0.503894944798715,VEGFA+ macrophage
1158,0.419464551120157,monocyte-derived macrophage
