cell_id,pseudotime,cluster_annotation
0,0.38476181054996506,effector memory T
18,0.471318007358031,naïve T
21,0.41433732225769804,regulatory T
31,0.401238367392593,regulatory T
33,0.497799625930035,regulatory T
36,0.372774776248857,central memory T
72,0.46610194895664603,naïve T
74,0.409896343367246,intermediate T
81,0.418017990889313,tissue-resident memory T
82,0.598764069740825,proliferative CD4 T
88,0.42865260006539796,intermediate T
89,0.431096452481985,effector memory T
96,0.482708916051129,naïve T
115,0.40440961624958804,central memory T
124,0.633188782710585,proliferative CD4 T
135,0.5517986835396149,regulatory T
147,0.46629458998402196,tissue-resident memory T
155,0.43027541472861597,central memory T
160,0.357398967248308,effector memory T
161,0.475151640551401,intermediate T
167,0.40425849661575397,tissue-resident memory T
172,0.513505972118548,regulatory T
175,0.48984063560399105,naïve T
183,0.437690595025628,cytotoxic T lymphocytes
192,0.603284062520139,proliferative CD4 T
196,0.391560106413839,effector memory T
200,0.386494725672499,cytotoxic T lymphocytes
218,0.466196131246398,intermediate T
219,0.41163286827560996,effector memory T
230,0.401887252986462,cytotoxic T lymphocytes
239,0.472538770132786,intermediate T
242,0.40197682592572503,tissue-resident memory T
251,0.586250150925108,tissue-resident memory T
254,0.61963486075046,proliferative CD4 T
255,0.38911279797200304,central memory T
256,0.47202157776978804,naïve T
260,0.37816411264802996,intermediate T
273,0.430001021006706,tissue-resident memory T
294,0.485734162858509,tissue-resident memory T
297,0.440189992079704,tissue-resident memory T
302,0.33907426789316497,effector memory T
303,0.42592010732306496,central memory T
318,0.441812629969471,tissue-resident memory T
327,0.586715222012181,proliferative CD4 T
328,0.428409578047356,tissue-resident memory T
334,0.403231720845294,intermediate T
355,0.46965760050558203,naïve T
372,0.6034123322655209,proliferative CD4 T
383,0.49041311299885004,naïve T
386,0.377529626787502,cytotoxic T lymphocytes
387,0.409501672215664,cytotoxic T lymphocytes
393,0.500923835622639,effector memory T
395,0.43085504900904004,central memory T
410,0.407144291554728,tissue-resident memory T
424,0.494590397186056,tissue-resident memory T
426,0.485908133627481,cytotoxic T lymphocytes
452,0.447790707026824,effector memory T
455,0.515343933318078,regulatory T
460,0.47383159310779,naïve T
462,0.44547282123324805,effector memory T
467,0.442463341885151,intermediate T
480,0.508281218323829,regulatory T
491,0.424948743132747,intermediate T
493,0.49944004938603903,tissue-resident memory T
495,0.509120904707635,cytotoxic T lymphocytes
498,0.45787500156223704,regulatory T
504,0.444968656126699,intermediate T
511,0.38001043567471104,tissue-resident memory T
512,0.41435678310715596,central memory T
513,0.364966105289557,effector memory T
514,0.42896469611658095,naïve T
517,0.45796187485507,intermediate T
524,0.40066638008868205,tissue-resident memory T
529,0.414290848551498,effector memory T
535,0.38138588078935,central memory T
544,0.41529529320691105,tissue-resident memory T
559,0.39861613354638603,intermediate T
560,0.438456859324603,central memory T
585,0.47569755180951,regulatory T
586,0.454858295497539,intermediate T
588,0.41939486036873797,central memory T
592,0.392683468317221,intermediate T
593,0.46334887564844895,naïve T
610,0.458145818146653,tissue-resident memory T
624,0.43813808048680103,intermediate T
653,0.43195855277247097,intermediate T
658,0.42636649456324505,cytotoxic T lymphocytes
659,0.41321522983161396,central memory T
737,0.45037975585102097,intermediate T
739,0.42371639664905203,cytotoxic T lymphocytes
743,0.486386448711125,tissue-resident memory T
746,0.39706994393053097,cytotoxic T lymphocytes
749,0.385304924589301,effector memory T
754,0.521114518823961,regulatory T
755,0.423182537015805,intermediate T
763,0.40417370279228504,tissue-resident memory T
770,0.626302409119305,proliferative CD4 T
771,0.45993717040648097,central memory T
796,0.43217468293623196,tissue-resident memory T
801,0.47021690727295995,central memory T
805,0.370682706747558,cytotoxic T lymphocytes
808,0.439099196473807,tissue-resident memory T
812,0.49555745706867804,tissue-resident memory T
819,0.40471304971646505,tissue-resident memory T
821,0.44253873986871695,tissue-resident memory T
826,0.42946942784215103,tissue-resident memory T
832,0.431172698791364,tissue-resident memory T
841,0.399354328585679,cytotoxic T lymphocytes
846,0.412314750104804,cytotoxic T lymphocytes
847,0.45711613582766597,intermediate T
851,0.45666130440167296,effector memory T
854,0.630161261824864,proliferative CD4 T
874,0.475189505422428,intermediate T
880,0.38201088820295903,tissue-resident memory T
884,0.461206473625812,intermediate T
899,0.473399920344151,naïve T
902,0.37789493980634503,tissue-resident memory T
910,0.33954725856854795,effector memory T
923,0.6086272276368929,proliferative CD4 T
928,0.47762805129266495,tissue-resident memory T
930,0.39404983115176695,effector memory T
932,0.473722903034585,tissue-resident memory T
938,0.43821919444928503,tissue-resident memory T
947,0.597987922871283,proliferative CD4 T
950,0.609694795130957,proliferative CD4 T
951,0.406156881902324,central memory T
968,0.634374507671271,proliferative CD4 T
976,0.394545886641679,effector memory T
980,0.40881347537630797,tissue-resident memory T
1003,0.586184760332665,proliferative CD4 T
1012,0.41945869128359203,regulatory T
1021,0.43376029406204,naïve T
1029,0.47781010396673196,intermediate T
1063,0.463703274330741,cytotoxic T lymphocytes
1084,0.374058205174599,cytotoxic T lymphocytes
1092,0.655759148854121,proliferative CD4 T
1104,0.386246489848048,regulatory T
1113,0.44098446901780397,intermediate T
1119,0.405418389871097,central memory T
1120,0.372946590600986,effector memory T
1121,0.350787272107542,effector memory T
1123,0.623109100986888,proliferative CD4 T
1129,0.49068084053540395,tissue-resident memory T
1132,0.43640197668329295,naïve T
1139,0.47467535624813395,naïve T
1142,0.428852180430612,effector memory T
1154,0.495794461566723,tissue-resident memory T
1156,0.423533515881949,intermediate T
1161,0.49208338433895504,intermediate T
1165,0.43764285560287997,intermediate T
1167,0.531947969369416,regulatory T
1168,0.382407372075092,central memory T
1175,0.40652667563312594,central memory T
1177,0.43857192564664305,naïve T
1184,0.51558546181306,naïve T
1185,0.411726212508263,central memory T
1205,0.5243888833628,intermediate T
1210,0.41140178178215303,central memory T
1213,0.446727443230993,effector memory T
1217,0.6110913755201199,cytotoxic T lymphocytes
1219,0.37318961669416095,cytotoxic T lymphocytes
1223,0.42287616901451797,regulatory T
1230,0.41920327058011897,intermediate T
1242,0.45714110161505905,central memory T
1265,0.47947365590298396,naïve T
1271,0.42270208088195205,effector memory T
1282,0.45892343085534304,tissue-resident memory T
1291,0.43098931829340403,tissue-resident memory T
1308,0.417823773823772,intermediate T
1313,0.42202340774290703,effector memory T
1317,0.38465590790026705,cytotoxic T lymphocytes
1321,0.561684033503915,regulatory T
1322,0.48558758343147,naïve T
1333,0.42457366412070396,effector memory T
1335,0.40427137006229596,cytotoxic T lymphocytes
1336,0.412577965455441,tissue-resident memory T
1338,0.36236760274786395,cytotoxic T lymphocytes
1339,0.6386480735693769,proliferative CD4 T
1343,0.46500379593726804,tissue-resident memory T
1354,0.40956728457840397,cytotoxic T lymphocytes
1362,0.437757495810301,effector memory T
1366,0.370386617568378,cytotoxic T lymphocytes
1368,0.506420052523178,naïve T
1369,0.426795526792744,naïve T
1393,0.407398364056326,central memory T
1441,0.5769986457731471,cytotoxic T lymphocytes
1451,0.45750533386164105,tissue-resident memory T
1454,0.36162853262486905,cytotoxic T lymphocytes
1457,0.40239139227312304,intermediate T
1460,0.45617136651756096,tissue-resident memory T
1461,0.41048461951943405,intermediate T
1489,0.48163336327387696,intermediate T
1490,0.447434899581045,naïve T
1495,0.43468072266246904,central memory T
1496,0.452129183052991,central memory T
1520,0.497227987026272,regulatory T
1534,0.475025864169928,regulatory T
1540,0.416528930401475,cytotoxic T lymphocytes
1541,0.357186037844338,effector memory T
1563,0.48437151046912397,tissue-resident memory T
1573,0.38418708017011105,effector memory T
1574,0.5111706365204169,tissue-resident memory T
1583,0.440795541783658,regulatory T
1584,0.35747975873471705,proliferative CD4 T
1586,0.362731208221989,cytotoxic T lymphocytes
1621,0.46255231426897503,intermediate T
1623,0.42804262521193304,central memory T
1624,0.382754919004094,effector memory T
1646,0.546639992406033,regulatory T
1659,0.43768018446387,tissue-resident memory T
1662,0.39218055029212495,cytotoxic T lymphocytes
1667,0.625310862876868,proliferative CD4 T
1668,0.401151351526403,cytotoxic T lymphocytes
1672,0.539233794486423,regulatory T
1674,0.47317627526664996,intermediate T
1682,0.422323850509563,tissue-resident memory T
1688,0.47286993648208697,cytotoxic T lymphocytes
1698,0.46162061163454504,naïve T
1701,0.630414617128081,proliferative CD4 T
1702,0.360172659007021,effector memory T
1704,0.361153340826732,effector memory T
1706,0.46548180421476204,tissue-resident memory T
1712,0.680705505593996,naïve T
1719,0.611393973312678,naïve T
1721,0.499729412629629,regulatory T
1728,0.48541483825654697,regulatory T
1731,0.49042110002179595,tissue-resident memory T
1733,0.49512675496537994,tissue-resident memory T
1746,0.420815673882444,tissue-resident memory T
1778,0.45049504410905705,intermediate T
1803,0.447564625168833,effector memory T
1808,0.464296725840484,tissue-resident memory T
1809,0.482977830803062,central memory T
1828,0.420845728968265,tissue-resident memory T
1876,0.46368334450897997,naïve T
1883,0.412802209519045,cytotoxic T lymphocytes
1884,0.596815835489911,proliferative CD4 T
1887,0.47195167168093,naïve T
1897,0.43936370941507397,naïve T
1910,0.625310862876868,proliferative CD4 T
1925,0.497227987026272,naïve T
1939,0.48641245737871497,effector memory T
1958,0.403079766813938,cytotoxic T lymphocytes
1966,0.619900292339996,proliferative CD4 T
1971,0.35910854222561395,effector memory T
1975,0.422077780688059,intermediate T
1978,0.43253830094871604,tissue-resident memory T
1986,0.44675687551973897,cytotoxic T lymphocytes
1999,0.43143581517642104,effector memory T
2000,0.47762812452746095,intermediate T
2010,0.345482472638602,effector memory T
2011,0.621082705763242,tissue-resident memory T
2044,0.34453822616045304,effector memory T
2046,0.388238539976266,intermediate T
2048,0.450145844199368,tissue-resident memory T
2054,0.41430950423881296,central memory T
2077,0.502068488967613,tissue-resident memory T
2094,0.45894793898903596,tissue-resident memory T
2104,0.346898981806942,effector memory T
2105,0.38548446045113105,tissue-resident memory T
