cell_id,pseudotime,cluster_annotation
1,26.6814567610578,monocyte-derived macrophage
6,29.8415508839129,VEGFA+ macrophage
7,29.6219390194571,VEGFA+ macrophage
9,32.1313004182749,TREM2+ macrophage
14,29.1843028820307,TREM2+ macrophage
15,29.0892247487058,VEGFA+ macrophage
16,30.0040872190708,VEGFA+ macrophage
17,29.9519958856412,TREM2+ macrophage
20,29.4909265565331,VEGFA+ macrophage
23,29.6587611836458,VEGFA+ macrophage
24,29.6152559676832,VEGFA+ macrophage
28,29.2879220704529,VEGFA+ macrophage
29,29.3546121078697,VEGFA+ macrophage
37,28.8994263689443,VEGFA+ macrophage
38,28.858601957052,VEGFA+ macrophage
45,29.629597886108,VEGFA+ macrophage
46,27.5014054200266,monocyte-derived macrophage
47,29.0544445623572,VEGFA+ macrophage
48,30.3402372160179,TREM2+ macrophage
49,27.5216717420732,monocyte-derived macrophage
50,29.8123193006519,VEGFA+ macrophage
51,12.010926981593,monocyte-derived macrophage
53,30.1640566610281,VEGFA+ macrophage
56,29.2027251977349,VEGFA+ macrophage
57,11.2142483023515,monocyte-derived macrophage
60,29.6202620653068,VEGFA+ macrophage
61,28.7683913688773,VEGFA+ macrophage
63,26.6779940754849,monocyte-derived macrophage
68,29.8444600993737,VEGFA+ macrophage
69,28.7699536173783,VEGFA+ macrophage
73,28.1719980934363,TREM2+ macrophage
79,28.9860306325817,VEGFA+ macrophage
83,29.226774052784,VEGFA+ macrophage
90,29.458744616056,VEGFA+ macrophage
94,30.2299662168367,TREM2+ macrophage
97,12.1777569568336,monocyte-derived macrophage
98,32.1618905790576,TREM2+ macrophage
100,29.2879220704529,VEGFA+ macrophage
101,32.6390136711963,TREM2+ macrophage
102,29.2238700974949,VEGFA+ macrophage
106,28.9548873141312,VEGFA+ macrophage
107,27.9112914686759,monocyte-derived macrophage
109,27.4912663633207,monocyte-derived macrophage
110,29.7555790184553,TREM2+ macrophage
114,32.5501038347543,monocyte-derived macrophage
116,26.6743456925078,MARCO+ macrophage
118,29.3196693218135,VEGFA+ macrophage
120,27.7213720969104,monocyte-derived macrophage
122,26.235539559231,proliferative macrophage
125,29.5345217502171,TREM2+ macrophage
126,28.5652365711066,MMP9+ macrophage
131,11.1695799314933,monocyte-derived macrophage
133,11.3416944231073,monocyte-derived macrophage
136,28.7950966744557,VEGFA+ macrophage
137,29.6205653690574,VEGFA+ macrophage
142,11.3621044511405,monocyte-derived macrophage
143,28.3359335382953,VEGFA+ macrophage
145,12.2128052217664,monocyte-derived macrophage
148,29.1380695790367,VEGFA+ macrophage
151,28.4266356183296,VEGFA+ macrophage
153,29.6783872386238,VEGFA+ macrophage
156,29.2310049919708,VEGFA+ macrophage
157,30.6440598937652,MARCO+ macrophage
159,29.1218044491678,VEGFA+ macrophage
169,30.6245597010538,TREM2+ macrophage
171,28.8718939073533,VEGFA+ macrophage
177,11.6925658284499,monocyte-derived macrophage
178,29.3584983836169,VEGFA+ macrophage
179,27.9200628824638,VEGFA+ macrophage
180,29.206461047621,VEGFA+ macrophage
182,28.7405624216222,MARCO+ macrophage
184,28.533410329353,TREM2+ macrophage
185,29.2640358219693,VEGFA+ macrophage
186,29.1355950616543,VEGFA+ macrophage
188,30.4185273294636,VEGFA+ macrophage
195,33.1181430241799,TREM2+ macrophage
202,29.4482710207021,VEGFA+ macrophage
204,29.30769375156,VEGFA+ macrophage
206,26.8730317370187,monocyte-derived macrophage
207,28.1123269122093,TREM2+ macrophage
208,28.283416727637,monocyte-derived macrophage
210,10.4155512480847,monocyte-derived macrophage
211,29.1375875055672,TREM2+ macrophage
213,29.1172637152117,TREM2+ macrophage
220,29.4595613639581,VEGFA+ macrophage
221,28.8988728020919,VEGFA+ macrophage
222,29.9928730670609,VEGFA+ macrophage
223,29.5309814539387,VEGFA+ macrophage
225,28.2099086273886,monocyte-derived macrophage
227,26.538777606696,monocyte-derived macrophage
231,29.3361638718197,TREM2+ macrophage
234,29.8813312103233,VEGFA+ macrophage
235,29.8530687847045,VEGFA+ macrophage
236,29.972757824445,TREM2+ macrophage
241,11.4683575316613,monocyte-derived macrophage
246,28.9890054711324,VEGFA+ macrophage
247,29.1167850497359,VEGFA+ macrophage
249,29.7444924436655,VEGFA+ macrophage
252,27.1517797320393,monocyte-derived macrophage
253,28.9614276538061,VEGFA+ macrophage
261,29.2353895055299,VEGFA+ macrophage
265,28.0713013751303,VEGFA+ macrophage
269,29.6662054067549,VEGFA+ macrophage
271,28.5515317898588,VEGFA+ macrophage
272,30.7628322824262,VEGFA+ macrophage
274,29.3720149074158,VEGFA+ macrophage
276,31.1276804763975,TREM2+ macrophage
277,28.7199102656916,VEGFA+ macrophage
278,29.1257829180839,VEGFA+ macrophage
279,29.3671193718996,VEGFA+ macrophage
281,30.3265959649551,VEGFA+ macrophage
282,12.1386919397328,monocyte-derived macrophage
284,28.9548873141312,VEGFA+ macrophage
286,28.9423162957438,VEGFA+ macrophage
287,29.8594439374175,VEGFA+ macrophage
290,28.4043877695548,monocyte-derived macrophage
296,28.9548873141312,VEGFA+ macrophage
298,29.6015286547598,VEGFA+ macrophage
304,28.5573215435732,VEGFA+ macrophage
306,29.1934560714939,VEGFA+ macrophage
308,31.8067225106399,VEGFA+ macrophage
313,27.5438331858571,monocyte-derived macrophage
314,28.2082731668435,monocyte-derived macrophage
317,29.7414761406799,TREM2+ macrophage
320,26.8151927486575,monocyte-derived macrophage
322,29.3553417672573,patient-specific macrophage
324,29.7024566371857,VEGFA+ macrophage
326,28.9448541092239,VEGFA+ macrophage
330,27.1259431011974,monocyte-derived macrophage
331,28.6201394418173,VEGFA+ macrophage
332,29.7255488063362,patient-specific macrophage
336,11.6641422431376,monocyte-derived macrophage
341,29.2879220704529,VEGFA+ macrophage
343,29.3769055954433,VEGFA+ macrophage
350,28.223120167051,VEGFA+ macrophage
362,28.9652693530004,VEGFA+ macrophage
363,29.8592975793913,TREM2+ macrophage
364,27.8074994794465,monocyte-derived macrophage
365,29.4434365782791,VEGFA+ macrophage
366,13.0124122007013,monocyte-derived macrophage
369,28.0141115075509,monocyte-derived macrophage
370,27.8571800481472,TREM2+ macrophage
371,29.3638569173577,VEGFA+ macrophage
