cell_id,pseudotime,cluster_annotation
0,20.5242034705487,effector memory T
18,22.4912324457987,naïve T
21,19.9234496922293,regulatory T
31,19.648913512358,regulatory T
33,25.8098742855155,regulatory T
36,20.7091909195245,central memory T
72,23.3359053704632,naïve T
74,20.7912682300744,intermediate T
81,26.4165573949051,tissue-resident memory T
82,29.5951527204037,proliferative CD4 T
88,21.1677181524055,intermediate T
89,20.1725965624104,effector memory T
96,20.6884806159478,naïve T
115,21.72916514217,central memory T
124,30.7402040591636,proliferative CD4 T
135,24.3644341853154,regulatory T
147,27.4273148123261,tissue-resident memory T
155,21.6247165479014,central memory T
160,22.2184628098483,effector memory T
161,21.2318200208515,intermediate T
167,26.5506781479501,tissue-resident memory T
172,25.8607390931828,regulatory T
175,24.9950388596095,naïve T
183,20.0500590679508,cytotoxic T lymphocytes
192,29.977032930444,proliferative CD4 T
196,20.3496404072626,effector memory T
200,24.0002382027711,cytotoxic T lymphocytes
218,22.271032529411,intermediate T
219,20.1725965624104,effector memory T
230,19.8960864992275,cytotoxic T lymphocytes
239,21.9875016128662,intermediate T
242,25.3861797506769,tissue-resident memory T
251,31.2622992857248,tissue-resident memory T
254,30.361393808509,proliferative CD4 T
255,20.5772400863587,central memory T
256,23.4742415665455,naïve T
260,20.2937997903079,intermediate T
273,26.1869682360117,tissue-resident memory T
294,27.9006378826312,tissue-resident memory T
297,27.4731946087072,tissue-resident memory T
302,26.654793244094,effector memory T
303,19.2602428313726,central memory T
318,27.7303575256745,tissue-resident memory T
327,29.4101780209356,proliferative CD4 T
328,26.9624998561915,tissue-resident memory T
334,19.274250358192,intermediate T
355,24.3916942814747,naïve T
372,29.6268205216708,proliferative CD4 T
383,24.2112580683491,naïve T
386,23.0878289067003,cytotoxic T lymphocytes
387,23.3938728903216,cytotoxic T lymphocytes
393,18.9393065174519,effector memory T
395,21.683746741364,central memory T
410,26.384970957645,tissue-resident memory T
424,28.6005690569766,tissue-resident memory T
426,19.7197751395633,cytotoxic T lymphocytes
452,24.8733288903103,effector memory T
455,26.2056258325654,regulatory T
460,21.8574684677353,naïve T
462,24.2709682225906,effector memory T
467,21.1393045432716,intermediate T
480,28.6442040998053,regulatory T
491,20.0733332691067,intermediate T
493,30.0877479833288,tissue-resident memory T
495,26.3862111028495,cytotoxic T lymphocytes
498,25.795990546337,regulatory T
504,21.0460839193836,intermediate T
511,24.9701533711962,tissue-resident memory T
512,21.9478481455048,central memory T
513,21.7117937578909,effector memory T
514,21.1228456978785,naïve T
517,22.2782411068047,intermediate T
524,26.2741935574608,tissue-resident memory T
529,18.9204134966672,effector memory T
535,21.2628757697085,central memory T
544,26.1012278715085,tissue-resident memory T
559,20.4450491640012,intermediate T
560,20.958594916225,central memory T
585,26.8636793477557,regulatory T
586,22.2719156359424,intermediate T
588,21.9350951905169,central memory T
592,21.0695320147163,intermediate T
593,21.6813497734462,naïve T
610,28.0487311147511,tissue-resident memory T
624,22.7685314761305,intermediate T
653,22.1358168887448,intermediate T
658,23.1396379311264,cytotoxic T lymphocytes
659,22.1215563122463,central memory T
737,22.4988317629408,intermediate T
739,19.7197751395633,cytotoxic T lymphocytes
743,27.7220925473696,tissue-resident memory T
746,19.97352771315,cytotoxic T lymphocytes
749,20.332769859915,effector memory T
754,27.8293450947971,regulatory T
755,17.7868270558792,intermediate T
763,25.9512956171441,tissue-resident memory T
770,30.7363663987836,proliferative CD4 T
771,22.1056093236565,central memory T
796,27.1063511208534,tissue-resident memory T
801,22.8960313305861,central memory T
805,20.5729038348989,cytotoxic T lymphocytes
808,27.6874788285491,tissue-resident memory T
812,27.9965409012807,tissue-resident memory T
819,26.7097894761885,tissue-resident memory T
821,27.7848142611142,tissue-resident memory T
826,26.6817181530967,tissue-resident memory T
832,27.3052079274096,tissue-resident memory T
841,24.5688146255529,cytotoxic T lymphocytes
846,23.5865411465734,cytotoxic T lymphocytes
847,23.1571259374063,intermediate T
851,20.3731775670556,effector memory T
854,30.6529307924219,proliferative CD4 T
874,24.2261286528418,intermediate T
880,25.8194113675504,tissue-resident memory T
884,22.9948126454235,intermediate T
899,22.9901391214343,naïve T
902,25.3781439350657,tissue-resident memory T
910,21.4006567057206,effector memory T
923,29.7071251200547,proliferative CD4 T
928,28.0153092645016,tissue-resident memory T
930,20.8377904485755,effector memory T
932,28.0578846728144,tissue-resident memory T
938,27.0218216441348,tissue-resident memory T
947,29.6988262590164,proliferative CD4 T
950,29.8378651961458,proliferative CD4 T
951,20.646822148774,central memory T
968,30.911986584134,proliferative CD4 T
976,23.3478486996293,effector memory T
980,26.3421677981789,tissue-resident memory T
1003,29.2343354204067,proliferative CD4 T
1012,24.3497107680074,regulatory T
1021,21.4666667602519,naïve T
1029,22.5876987515141,intermediate T
1063,19.3899247357051,cytotoxic T lymphocytes
1084,20.4532119946436,cytotoxic T lymphocytes
1092,31.8613194264068,proliferative CD4 T
1104,19.0556366535012,regulatory T
1113,21.1578544525905,intermediate T
1119,22.481616415442,central memory T
1120,24.5283980862726,effector memory T
1121,25.9563289599371,effector memory T
1123,30.5613737449463,proliferative CD4 T
1129,27.3607216609502,tissue-resident memory T
1132,21.0586856440067,naïve T
1139,22.5070970118957,naïve T
1142,24.5476220131159,effector memory T
1154,29.4095925616106,tissue-resident memory T
1156,21.9415682688245,intermediate T
1161,23.8919825337525,intermediate T
1165,21.6812190755144,intermediate T
1167,23.614852960981,regulatory T
1168,21.9221567439144,central memory T
1175,21.3601348131885,central memory T
1177,23.7910540909787,naïve T
1184,25.9477816230155,naïve T
1185,21.9311119539981,central memory T
1205,24.5970851527426,intermediate T
1210,21.7831802922784,central memory T
1213,20.0730769324566,effector memory T
1217,19.3899247357051,cytotoxic T lymphocytes
1219,20.393697005417,cytotoxic T lymphocytes
1223,19.1542217563233,regulatory T
1230,21.6414796863379,intermediate T
1242,22.7950000758669,central memory T
1265,23.5608161837831,naïve T
1271,24.9670159435336,effector memory T
1282,27.1828053542177,tissue-resident memory T
1291,27.6831034191045,tissue-resident memory T
1308,21.1791239151237,intermediate T
1313,18.8288416331611,effector memory T
1317,23.4684842559891,cytotoxic T lymphocytes
1321,24.4596605477464,regulatory T
1322,25.5666205829339,naïve T
1333,18.5238847676052,effector memory T
1335,24.2275704487893,cytotoxic T lymphocytes
1336,26.9343332361708,tissue-resident memory T
1338,20.7527229829486,cytotoxic T lymphocytes
1339,31.3990672421568,proliferative CD4 T
1343,27.4651135361536,tissue-resident memory T
1354,24.4318373049323,cytotoxic T lymphocytes
1362,24.4789946138284,effector memory T
1366,20.483736952694,cytotoxic T lymphocytes
1368,26.7009532121387,naïve T
1369,22.184172198514,naïve T
1393,20.9139747074018,central memory T
1441,19.2204731635391,cytotoxic T lymphocytes
1451,27.8257253255892,tissue-resident memory T
1454,23.451233301577,cytotoxic T lymphocytes
1457,22.9029984346161,intermediate T
1460,27.8142053753961,tissue-resident memory T
1461,21.8819131975974,intermediate T
1489,23.1256898619041,intermediate T
1490,20.6752218812893,naïve T
1495,21.8574766404692,central memory T
1496,21.4199465418921,central memory T
1520,21.4674695866168,regulatory T
1534,25.5528158529234,regulatory T
1540,16.3390708711055,cytotoxic T lymphocytes
1541,25.0761707406484,effector memory T
1563,27.7689344390324,tissue-resident memory T
1573,19.5689007699455,effector memory T
1574,30.3305626237962,tissue-resident memory T
1583,20.3037363551489,regulatory T
1584,30.3945833124508,proliferative CD4 T
1586,21.6234351764439,cytotoxic T lymphocytes
1621,21.8177686355986,intermediate T
1623,22.1345746464752,central memory T
1624,26.2743121369296,effector memory T
1646,24.0522104078351,regulatory T
1659,26.7022323252368,tissue-resident memory T
1662,20.0500590679508,cytotoxic T lymphocytes
1667,30.8353470147809,proliferative CD4 T
1668,23.9885596232522,cytotoxic T lymphocytes
1672,23.7530967903838,regulatory T
1674,22.4485466548729,intermediate T
1682,26.7075079505175,tissue-resident memory T
1688,19.2491376525675,cytotoxic T lymphocytes
1698,22.4850522901155,naïve T
1701,30.8550773324305,proliferative CD4 T
1702,24.3941398221001,effector memory T
1704,24.2374188812049,effector memory T
1706,28.7585804837901,tissue-resident memory T
1712,30.0037231565014,naïve T
1719,27.4462574989972,naïve T
1721,21.2224908316362,regulatory T
1728,25.4389180218388,regulatory T
1731,28.1044720304848,tissue-resident memory T
1733,24.8410034169488,tissue-resident memory T
1746,26.4570263028807,tissue-resident memory T
1778,21.2219713952304,intermediate T
1803,24.8802810524776,effector memory T
1808,29.1434881904651,tissue-resident memory T
1809,24.4267471703612,central memory T
1828,26.4519519189793,tissue-resident memory T
1876,20.8799907279676,naïve T
1883,24.7073558490473,cytotoxic T lymphocytes
1884,29.9864323172459,proliferative CD4 T
1887,22.044740936493,naïve T
1897,20.471929565673,naïve T
1910,30.7353233527591,proliferative CD4 T
1925,25.323174323831,naïve T
1939,19.57601194283,effector memory T
1958,23.6456181983033,cytotoxic T lymphocytes
1966,30.706639868242,proliferative CD4 T
1971,22.9594615559952,effector memory T
1975,21.3071363168005,intermediate T
1978,27.1373737463972,tissue-resident memory T
1986,19.8893106468633,cytotoxic T lymphocytes
1999,24.7233100842099,effector memory T
2000,23.8830787058157,intermediate T
2010,23.2418231122131,effector memory T
2011,33.4566547513509,tissue-resident memory T
2044,22.9944134401799,effector memory T
2046,21.8168048542344,intermediate T
2048,28.0262597448605,tissue-resident memory T
2054,21.5725009901559,central memory T
2077,28.9838934943402,tissue-resident memory T
2094,28.2320986827092,tissue-resident memory T
2104,21.0339384047573,effector memory T
2105,25.7624489716214,tissue-resident memory T
2110,23.5242264719607,cytotoxic T lymphocytes
2111,23.0098013369583,cytotoxic T lymphocytes
2136,27.6324295043964,tissue-resident memory T
2139,21.7817215049364,effector memory T
2140,19.7720697396451,effector memory T
2145,21.7879294861025,intermediate T
2149,21.6087584053793,intermediate T
2167,27.2750920005139,tissue-resident memory T
