cell_id,pseudotime,cluster_annotation
1,4.14449819704737,monocyte-derived macrophage
6,20.9349229895358,VEGFA+ macrophage
7,20.9349229895358,VEGFA+ macrophage
9,16.502046729948,TREM2+ macrophage
14,20.9349229895358,TREM2+ macrophage
15,20.9349229895358,VEGFA+ macrophage
16,20.9349229895358,VEGFA+ macrophage
17,20.4283959309791,TREM2+ macrophage
20,20.9349229895358,VEGFA+ macrophage
23,20.9349229895358,VEGFA+ macrophage
24,20.9349229895358,VEGFA+ macrophage
28,20.9349229895358,VEGFA+ macrophage
29,20.9349229895358,VEGFA+ macrophage
37,20.9349229895358,VEGFA+ macrophage
38,20.9349229895358,VEGFA+ macrophage
45,20.9349229895358,VEGFA+ macrophage
46,1.02561314670599,monocyte-derived macrophage
47,20.9349229895358,VEGFA+ macrophage
48,19.830338001474,TREM2+ macrophage
49,1.24496323207705,monocyte-derived macrophage
50,20.9349229895358,VEGFA+ macrophage
51,0.472360048655393,monocyte-derived macrophage
53,20.9349229895358,VEGFA+ macrophage
56,20.9349229895358,VEGFA+ macrophage
57,0.462440971314877,monocyte-derived macrophage
60,20.9349229895358,VEGFA+ macrophage
61,20.9349229895358,VEGFA+ macrophage
63,0.814588747512907,monocyte-derived macrophage
68,20.9349229895358,VEGFA+ macrophage
69,20.9349229895358,VEGFA+ macrophage
73,18.7925826058019,TREM2+ macrophage
79,20.9349229895358,VEGFA+ macrophage
83,20.9349229895358,VEGFA+ macrophage
90,20.9349229895358,VEGFA+ macrophage
94,18.7975916224613,TREM2+ macrophage
97,0.927843135905377,monocyte-derived macrophage
98,15.7250428213954,TREM2+ macrophage
100,20.9349229895358,VEGFA+ macrophage
101,18.3075502234172,TREM2+ macrophage
102,20.9349229895358,VEGFA+ macrophage
106,20.9349229895358,VEGFA+ macrophage
107,0.294162221453256,monocyte-derived macrophage
109,1.91168503212412,monocyte-derived macrophage
110,19.099091988708,TREM2+ macrophage
114,3.25047013966634,monocyte-derived macrophage
116,22.0533771963888,MARCO+ macrophage
118,20.9349229895358,VEGFA+ macrophage
120,3.75553182638612,monocyte-derived macrophage
122,5.49105779973769,proliferative macrophage
125,20.9349229895358,TREM2+ macrophage
126,8.75459041376465,MMP9+ macrophage
131,0.0,monocyte-derived macrophage
133,0.0,monocyte-derived macrophage
136,20.9349229895358,VEGFA+ macrophage
137,20.9349229895358,VEGFA+ macrophage
142,0.732316909945704,monocyte-derived macrophage
143,20.9349229895358,VEGFA+ macrophage
145,1.75806617164996,monocyte-derived macrophage
148,20.9349229895358,VEGFA+ macrophage
151,20.9349229895358,VEGFA+ macrophage
153,20.9349229895358,VEGFA+ macrophage
156,20.9349229895358,VEGFA+ macrophage
157,24.290535182412,MARCO+ macrophage
159,20.9349229895358,VEGFA+ macrophage
169,16.993595495479,TREM2+ macrophage
171,20.9349229895358,VEGFA+ macrophage
177,0.0,monocyte-derived macrophage
178,20.9349229895358,VEGFA+ macrophage
179,20.9349229895358,VEGFA+ macrophage
180,20.9349229895358,VEGFA+ macrophage
182,22.4162686271349,MARCO+ macrophage
184,20.9349229895358,TREM2+ macrophage
185,20.9349229895358,VEGFA+ macrophage
186,20.9349229895358,VEGFA+ macrophage
188,20.3185225498476,VEGFA+ macrophage
195,16.6921072274211,TREM2+ macrophage
202,20.9349229895358,VEGFA+ macrophage
204,20.9349229895358,VEGFA+ macrophage
206,0.903757391677947,monocyte-derived macrophage
207,19.4458322890591,TREM2+ macrophage
208,2.24000267702227,monocyte-derived macrophage
210,0.0,monocyte-derived macrophage
211,20.3809486628826,TREM2+ macrophage
213,18.4579016561236,TREM2+ macrophage
220,20.9349229895358,VEGFA+ macrophage
221,20.9349229895358,VEGFA+ macrophage
222,20.9349229895358,VEGFA+ macrophage
223,20.9349229895358,VEGFA+ macrophage
225,2.61236826841924,monocyte-derived macrophage
227,2.29867132029255,monocyte-derived macrophage
231,20.4518523039628,TREM2+ macrophage
234,20.9349229895358,VEGFA+ macrophage
235,20.9349229895358,VEGFA+ macrophage
236,20.9349229895358,TREM2+ macrophage
241,0.0,monocyte-derived macrophage
246,20.9349229895358,VEGFA+ macrophage
247,20.9349229895358,VEGFA+ macrophage
249,20.9349229895358,VEGFA+ macrophage
252,1.36840752760295,monocyte-derived macrophage
253,20.9349229895358,VEGFA+ macrophage
261,20.9349229895358,VEGFA+ macrophage
265,20.9349229895358,VEGFA+ macrophage
269,20.9349229895358,VEGFA+ macrophage
271,20.9349229895358,VEGFA+ macrophage
272,20.4153183698797,VEGFA+ macrophage
274,20.9349229895358,VEGFA+ macrophage
276,20.2233638131719,TREM2+ macrophage
277,20.9349229895358,VEGFA+ macrophage
278,20.9349229895358,VEGFA+ macrophage
279,20.9349229895358,VEGFA+ macrophage
281,20.1165922730951,VEGFA+ macrophage
282,0.0944954576294945,monocyte-derived macrophage
284,20.9349229895358,VEGFA+ macrophage
286,20.9349229895358,VEGFA+ macrophage
287,20.9349229895358,VEGFA+ macrophage
290,4.11193370780188,monocyte-derived macrophage
296,20.9349229895358,VEGFA+ macrophage
298,20.9349229895358,VEGFA+ macrophage
304,20.9349229895358,VEGFA+ macrophage
306,20.9349229895358,VEGFA+ macrophage
308,19.1035084577627,VEGFA+ macrophage
313,1.02839766159858,monocyte-derived macrophage
314,4.70752583955624,monocyte-derived macrophage
317,19.9208654170899,TREM2+ macrophage
320,2.86998015532725,monocyte-derived macrophage
322,15.4004660765733,patient-specific macrophage
324,20.9349229895358,VEGFA+ macrophage
326,20.9349229895358,VEGFA+ macrophage
330,2.20775672450319,monocyte-derived macrophage
331,20.9349229895358,VEGFA+ macrophage
332,15.946501807774,patient-specific macrophage
336,0.53081545805002,monocyte-derived macrophage
341,20.9349229895358,VEGFA+ macrophage
343,20.9349229895358,VEGFA+ macrophage
350,20.9349229895358,VEGFA+ macrophage
362,20.9349229895358,VEGFA+ macrophage
363,20.9349229895358,TREM2+ macrophage
364,2.57556694207722,monocyte-derived macrophage
365,20.9349229895358,VEGFA+ macrophage
366,1.90715195594065,monocyte-derived macrophage
369,3.57857314670748,monocyte-derived macrophage
370,17.8363956568806,TREM2+ macrophage
371,20.9349229895358,VEGFA+ macrophage
373,20.9349229895358,VEGFA+ macrophage
375,20.9349229895358,VEGFA+ macrophage
377,20.9349229895358,VEGFA+ macrophage
379,20.7921873435996,TREM2+ macrophage
390,20.9349229895358,VEGFA+ macrophage
391,22.5941269710154,MARCO+ macrophage
397,20.9349229895358,TREM2+ macrophage
400,20.9349229895358,VEGFA+ macrophage
403,20.9349229895358,TREM2+ macrophage
413,15.9153299069257,TREM2+ macrophage
414,4.08675008098201,monocyte-derived macrophage
415,20.9349229895358,VEGFA+ macrophage
417,20.9349229895358,VEGFA+ macrophage
419,20.9349229895358,VEGFA+ macrophage
422,20.9349229895358,VEGFA+ macrophage
433,20.9349229895358,VEGFA+ macrophage
434,20.9349229895358,VEGFA+ macrophage
437,20.9349229895358,VEGFA+ macrophage
441,20.9349229895358,VEGFA+ macrophage
444,20.9349229895358,TREM2+ macrophage
445,20.9349229895358,VEGFA+ macrophage
446,20.214649280481,VEGFA+ macrophage
451,20.9349229895358,TREM2+ macrophage
454,20.9349229895358,VEGFA+ macrophage
457,20.9349229895358,VEGFA+ macrophage
461,20.9349229895358,VEGFA+ macrophage
465,20.9349229895358,VEGFA+ macrophage
466,20.50065682975,VEGFA+ macrophage
471,20.9349229895358,VEGFA+ macrophage
473,20.9349229895358,VEGFA+ macrophage
476,20.9349229895358,VEGFA+ macrophage
477,9.11572190786263,MMP9+ macrophage
479,20.9349229895358,VEGFA+ macrophage
481,20.9349229895358,VEGFA+ macrophage
483,20.060040605387,VEGFA+ macrophage
485,20.9349229895358,TREM2+ macrophage
486,20.9349229895358,VEGFA+ macrophage
487,20.9349229895358,VEGFA+ macrophage
488,19.1467904988871,TREM2+ macrophage
489,20.9349229895358,VEGFA+ macrophage
490,20.9349229895358,VEGFA+ macrophage
494,0.0,monocyte-derived macrophage
497,20.9349229895358,VEGFA+ macrophage
499,20.9349229895358,VEGFA+ macrophage
500,8.88857576102273,MMP9+ macrophage
502,19.9989659476735,TREM2+ macrophage
509,20.9349229895358,VEGFA+ macrophage
510,0.315591880445876,monocyte-derived macrophage
516,20.6942096479539,TREM2+ macrophage
518,20.9349229895358,VEGFA+ macrophage
521,20.9349229895358,VEGFA+ macrophage
522,20.9349229895358,TREM2+ macrophage
525,20.9349229895358,VEGFA+ macrophage
540,20.9349229895358,VEGFA+ macrophage
543,20.9349229895358,VEGFA+ macrophage
547,20.9349229895358,VEGFA+ macrophage
549,20.9349229895358,VEGFA+ macrophage
550,20.9349229895358,VEGFA+ macrophage
551,20.9349229895358,VEGFA+ macrophage
556,20.9349229895358,TREM2+ macrophage
564,18.6447920127739,TREM2+ macrophage
566,20.9349229895358,VEGFA+ macrophage
567,20.9349229895358,VEGFA+ macrophage
568,25.0952429093311,MARCO+ macrophage
570,20.9349229895358,VEGFA+ macrophage
575,20.9349229895358,VEGFA+ macrophage
576,20.9349229895358,VEGFA+ macrophage
577,20.9349229895358,VEGFA+ macrophage
578,20.9349229895358,VEGFA+ macrophage
594,20.9349229895358,VEGFA+ macrophage
596,20.9349229895358,VEGFA+ macrophage
597,20.9349229895358,VEGFA+ macrophage
599,2.42724628195541,monocyte-derived macrophage
600,0.0217485435296245,monocyte-derived macrophage
601,20.9349229895358,VEGFA+ macrophage
603,20.9349229895358,VEGFA+ macrophage
608,20.9349229895358,VEGFA+ macrophage
611,20.9349229895358,VEGFA+ macrophage
614,20.9349229895358,VEGFA+ macrophage
615,20.9349229895358,VEGFA+ macrophage
616,20.9349229895358,VEGFA+ macrophage
618,23.7271889454376,MARCO+ macrophage
620,20.9349229895358,VEGFA+ macrophage
629,9.00420560658551,MMP9+ macrophage
632,20.9349229895358,TREM2+ macrophage
634,20.9349229895358,VEGFA+ macrophage
635,19.2755695972684,TREM2+ macrophage
636,20.9349229895358,VEGFA+ macrophage
637,1.05637345777726,monocyte-derived macrophage
640,20.9349229895358,TREM2+ macrophage
641,17.92555097867,TREM2+ macrophage
643,20.9349229895358,VEGFA+ macrophage
644,20.9349229895358,VEGFA+ macrophage
648,20.9349229895358,VEGFA+ macrophage
649,20.9349229895358,VEGFA+ macrophage
652,0.805352639064409,monocyte-derived macrophage
654,20.9349229895358,VEGFA+ macrophage
661,1.80946792536132,monocyte-derived macrophage
662,20.9349229895358,VEGFA+ macrophage
