cell_id,pseudotime,cluster_annotation
0,10.1231685301289,effector memory T
18,3.48603694040607,naïve T
21,14.6362252540836,regulatory T
31,6.10979061566487,regulatory T
33,6.98159979102872,regulatory T
36,2.29556531443574,central memory T
72,3.00898991560686,naïve T
74,8.80982131123645,intermediate T
81,10.0406556679167,tissue-resident memory T
82,20.0731140677205,proliferative CD4 T
88,10.0406556679167,intermediate T
89,11.1644118191737,effector memory T
96,3.48603694040607,naïve T
115,2.68327806822148,central memory T
124,20.0731140677205,proliferative CD4 T
135,10.4410317627863,regulatory T
147,10.0406556679167,tissue-resident memory T
155,3.48603694040607,central memory T
160,10.6581405374621,effector memory T
161,8.82580083406342,intermediate T
167,10.0406556679167,tissue-resident memory T
172,13.9576804155769,regulatory T
175,3.48603694040607,naïve T
183,10.5469556975066,cytotoxic T lymphocytes
192,20.0731140677205,proliferative CD4 T
196,11.1644118191737,effector memory T
200,9.32799118279048,cytotoxic T lymphocytes
218,8.92762788720925,intermediate T
219,11.1644118191737,effector memory T
230,5.23461711046012,cytotoxic T lymphocytes
239,10.0406556679167,intermediate T
242,9.14635855152873,tissue-resident memory T
251,10.0406556679167,tissue-resident memory T
254,20.0731140677205,proliferative CD4 T
255,5.09075769309174,central memory T
256,3.48603694040607,naïve T
260,7.0503016763191,intermediate T
273,10.0406556679167,tissue-resident memory T
294,10.0406556679167,tissue-resident memory T
297,10.0406556679167,tissue-resident memory T
302,11.1644118191737,effector memory T
303,3.20821734954367,central memory T
318,10.0406556679167,tissue-resident memory T
327,19.8766078518244,proliferative CD4 T
328,10.0406556679167,tissue-resident memory T
334,6.13425680663597,intermediate T
355,3.48603694040607,naïve T
372,20.0731140677205,proliferative CD4 T
383,3.48603694040607,naïve T
386,9.69956663664559,cytotoxic T lymphocytes
387,5.17691947486047,cytotoxic T lymphocytes
393,8.2176356458529,effector memory T
395,4.83154172899297,central memory T
410,10.0406556679167,tissue-resident memory T
424,10.0406556679167,tissue-resident memory T
426,5.40904395643899,cytotoxic T lymphocytes
452,10.2339598947623,effector memory T
455,8.39859977035213,regulatory T
460,3.48603694040607,naïve T
462,8.88947702355465,effector memory T
467,8.34442898834298,intermediate T
480,5.98647140301003,regulatory T
491,7.8337156511498,intermediate T
493,10.0406556679167,tissue-resident memory T
495,4.99002973890098,cytotoxic T lymphocytes
498,6.59378853362701,regulatory T
504,8.99744530012006,intermediate T
511,10.0406556679167,tissue-resident memory T
512,4.35892359022814,central memory T
513,9.97670234603289,effector memory T
514,3.34345795628361,naïve T
517,10.0406556679167,intermediate T
524,10.0406556679167,tissue-resident memory T
