cell_id,pseudotime,cluster_annotation
1,0.22352658781271237,monocyte-derived macrophage
6,0.29819986733997966,VEGFA+ macrophage
7,0.29819986733997966,VEGFA+ macrophage
9,0.29819986733997966,TREM2+ macrophage
14,0.29819986733997966,TREM2+ macrophage
15,0.29819986733997966,VEGFA+ macrophage
16,0.29819986733997966,VEGFA+ macrophage
17,0.29819986733997966,TREM2+ macrophage
20,0.29819986733997966,VEGFA+ macrophage
23,0.29819986733997966,VEGFA+ macrophage
24,0.29819986733997966,VEGFA+ macrophage
28,0.29819986733997966,VEGFA+ macrophage
29,0.29819986733997966,VEGFA+ macrophage
37,0.29819986733997966,VEGFA+ macrophage
38,0.29819986733997966,VEGFA+ macrophage
45,0.29819986733997966,VEGFA+ macrophage
46,0.22352658781271237,monocyte-derived macrophage
47,0.29819986733997966,VEGFA+ macrophage
48,0.29819986733997966,TREM2+ macrophage
49,0.22352658781271237,monocyte-derived macrophage
50,0.29819986733997966,VEGFA+ macrophage
51,0.22352658781271237,monocyte-derived macrophage
53,0.29819986733997966,VEGFA+ macrophage
56,0.29819986733997966,VEGFA+ macrophage
57,0.22352658781271237,monocyte-derived macrophage
60,0.29819986733997966,VEGFA+ macrophage
61,0.29819986733997966,VEGFA+ macrophage
63,0.22352658781271237,monocyte-derived macrophage
68,0.29819986733997966,VEGFA+ macrophage
69,0.29819986733997966,VEGFA+ macrophage
73,0.22352658781271237,TREM2+ macrophage
79,0.29819986733997966,VEGFA+ macrophage
83,0.29819986733997966,VEGFA+ macrophage
90,0.29819986733997966,VEGFA+ macrophage
94,0.29819986733997966,TREM2+ macrophage
97,0.22352658781271237,monocyte-derived macrophage
98,0.29819986733997966,TREM2+ macrophage
100,0.29819986733997966,VEGFA+ macrophage
101,0.29819986733997966,TREM2+ macrophage
102,0.29819986733997966,VEGFA+ macrophage
106,0.29819986733997966,VEGFA+ macrophage
107,0.22352658781271237,monocyte-derived macrophage
109,0.22352658781271237,monocyte-derived macrophage
110,0.29819986733997966,TREM2+ macrophage
114,0.22352658781271237,monocyte-derived macrophage
116,0.29819986733997966,MARCO+ macrophage
118,0.29819986733997966,VEGFA+ macrophage
120,0.22352658781271237,monocyte-derived macrophage
122,0.22352658781271237,proliferative macrophage
125,0.29819986733997966,TREM2+ macrophage
126,0.29819986733997966,MMP9+ macrophage
131,0.22352658781271237,monocyte-derived macrophage
133,0.22352658781271237,monocyte-derived macrophage
136,0.29819986733997966,VEGFA+ macrophage
137,0.29819986733997966,VEGFA+ macrophage
142,0.22352658781271237,monocyte-derived macrophage
143,0.29819986733997966,VEGFA+ macrophage
145,0.22352658781271237,monocyte-derived macrophage
148,0.29819986733997966,VEGFA+ macrophage
151,0.29819986733997966,VEGFA+ macrophage
153,0.29819986733997966,VEGFA+ macrophage
156,0.29819986733997966,VEGFA+ macrophage
157,0.29819986733997966,MARCO+ macrophage
159,0.29819986733997966,VEGFA+ macrophage
169,0.29819986733997966,TREM2+ macrophage
171,0.29819986733997966,VEGFA+ macrophage
177,0.22352658781271237,monocyte-derived macrophage
178,0.29819986733997966,VEGFA+ macrophage
179,0.29819986733997966,VEGFA+ macrophage
180,0.29819986733997966,VEGFA+ macrophage
182,0.29819986733997966,MARCO+ macrophage
184,0.29819986733997966,TREM2+ macrophage
185,0.29819986733997966,VEGFA+ macrophage
186,0.29819986733997966,VEGFA+ macrophage
188,0.29819986733997966,VEGFA+ macrophage
195,0.29819986733997966,TREM2+ macrophage
202,0.29819986733997966,VEGFA+ macrophage
204,0.29819986733997966,VEGFA+ macrophage
206,0.24841768098846811,monocyte-derived macrophage
207,0.29819986733997966,TREM2+ macrophage
208,0.22352658781271237,monocyte-derived macrophage
210,0.22352658781271237,monocyte-derived macrophage
211,0.29819986733997966,TREM2+ macrophage
213,0.29819986733997966,TREM2+ macrophage
220,0.29819986733997966,VEGFA+ macrophage
221,0.29819986733997966,VEGFA+ macrophage
222,0.29819986733997966,VEGFA+ macrophage
223,0.29819986733997966,VEGFA+ macrophage
225,0.22352658781271237,monocyte-derived macrophage
227,0.22352658781271237,monocyte-derived macrophage
231,0.29819986733997966,TREM2+ macrophage
234,0.29819986733997966,VEGFA+ macrophage
235,0.29819986733997966,VEGFA+ macrophage
236,0.29819986733997966,TREM2+ macrophage
241,0.22352658781271237,monocyte-derived macrophage
246,0.29819986733997966,VEGFA+ macrophage
247,0.29819986733997966,VEGFA+ macrophage
249,0.29819986733997966,VEGFA+ macrophage
252,0.22352658781271237,monocyte-derived macrophage
253,0.29819986733997966,VEGFA+ macrophage
261,0.29819986733997966,VEGFA+ macrophage
265,0.29819986733997966,VEGFA+ macrophage
269,0.29819986733997966,VEGFA+ macrophage
271,0.29819986733997966,VEGFA+ macrophage
272,0.29819986733997966,VEGFA+ macrophage
274,0.29819986733997966,VEGFA+ macrophage
276,0.29819986733997966,TREM2+ macrophage
277,0.29819986733997966,VEGFA+ macrophage
278,0.29819986733997966,VEGFA+ macrophage
279,0.29819986733997966,VEGFA+ macrophage
281,0.29819986733997966,VEGFA+ macrophage
282,0.22352658781271237,monocyte-derived macrophage
284,0.29819986733997966,VEGFA+ macrophage
286,0.29819986733997966,VEGFA+ macrophage
287,0.29819986733997966,VEGFA+ macrophage
290,0.29819986733997966,monocyte-derived macrophage
296,0.29819986733997966,VEGFA+ macrophage
298,0.29819986733997966,VEGFA+ macrophage
304,0.29819986733997966,VEGFA+ macrophage
306,0.29819986733997966,VEGFA+ macrophage
308,0.29819986733997966,VEGFA+ macrophage
313,0.22352658781271237,monocyte-derived macrophage
314,0.29819986733997966,monocyte-derived macrophage
317,0.29819986733997966,TREM2+ macrophage
320,0.22352658781271237,monocyte-derived macrophage
322,0.29819986733997966,patient-specific macrophage
324,0.29819986733997966,VEGFA+ macrophage
326,0.29819986733997966,VEGFA+ macrophage
330,0.22352658781271237,monocyte-derived macrophage
331,0.29819986733997966,VEGFA+ macrophage
332,0.29819986733997966,patient-specific macrophage
336,0.22352658781271237,monocyte-derived macrophage
341,0.29819986733997966,VEGFA+ macrophage
343,0.29819986733997966,VEGFA+ macrophage
350,0.29819986733997966,VEGFA+ macrophage
362,0.29819986733997966,VEGFA+ macrophage
363,0.29819986733997966,TREM2+ macrophage
364,0.24841768098846811,monocyte-derived macrophage
365,0.29819986733997966,VEGFA+ macrophage
366,0.22352658781271237,monocyte-derived macrophage
369,0.22352658781271237,monocyte-derived macrophage
370,0.29819986733997966,TREM2+ macrophage
371,0.29819986733997966,VEGFA+ macrophage
373,0.29819986733997966,VEGFA+ macrophage
375,0.29819986733997966,VEGFA+ macrophage
377,0.29819986733997966,VEGFA+ macrophage
379,0.29819986733997966,TREM2+ macrophage
390,0.29819986733997966,VEGFA+ macrophage
391,0.29819986733997966,MARCO+ macrophage
397,0.29819986733997966,TREM2+ macrophage
400,0.29819986733997966,VEGFA+ macrophage
403,0.29819986733997966,TREM2+ macrophage
413,0.29819986733997966,TREM2+ macrophage
414,0.22352658781271237,monocyte-derived macrophage
415,0.29819986733997966,VEGFA+ macrophage
417,0.29819986733997966,VEGFA+ macrophage
419,0.29819986733997966,VEGFA+ macrophage
422,0.29819986733997966,VEGFA+ macrophage
433,0.29819986733997966,VEGFA+ macrophage
434,0.29819986733997966,VEGFA+ macrophage
437,0.29819986733997966,VEGFA+ macrophage
441,0.29819986733997966,VEGFA+ macrophage
444,0.29819986733997966,TREM2+ macrophage
445,0.29819986733997966,VEGFA+ macrophage
446,0.29819986733997966,VEGFA+ macrophage
451,0.29819986733997966,TREM2+ macrophage
454,0.29819986733997966,VEGFA+ macrophage
457,0.29819986733997966,VEGFA+ macrophage
461,0.29819986733997966,VEGFA+ macrophage
465,0.29819986733997966,VEGFA+ macrophage
466,0.29819986733997966,VEGFA+ macrophage
471,0.29819986733997966,VEGFA+ macrophage
473,0.29819986733997966,VEGFA+ macrophage
476,0.29819986733997966,VEGFA+ macrophage
477,0.29819986733997966,MMP9+ macrophage
479,0.29819986733997966,VEGFA+ macrophage
481,0.29819986733997966,VEGFA+ macrophage
483,0.29819986733997966,VEGFA+ macrophage
485,0.29819986733997966,TREM2+ macrophage
486,0.29819986733997966,VEGFA+ macrophage
487,0.29819986733997966,VEGFA+ macrophage
488,0.29819986733997966,TREM2+ macrophage
489,0.29819986733997966,VEGFA+ macrophage
490,0.29819986733997966,VEGFA+ macrophage
494,0.22352658781271237,monocyte-derived macrophage
497,0.29819986733997966,VEGFA+ macrophage
499,0.29819986733997966,VEGFA+ macrophage
