cell_id,pseudotime,cluster_annotation
0,0.3469664987590613,effector memory T
18,0.3469664987590613,naïve T
21,0.3469664987590613,regulatory T
31,0.3469664987590613,regulatory T
33,0.3469664987590613,regulatory T
36,0.3469664987590613,central memory T
72,0.3469664987590613,naïve T
74,0.3469664987590613,intermediate T
81,0.3469664987590613,tissue-resident memory T
82,0.45243630062308776,proliferative CD4 T
88,0.23131099917270753,intermediate T
89,0.3469664987590613,effector memory T
96,0.2911537010817447,naïve T
115,0.3469664987590613,central memory T
124,0.5150504582148921,proliferative CD4 T
135,0.2632473022430864,regulatory T
147,0.3469664987590613,tissue-resident memory T
155,0.3469664987590613,central memory T
160,0.3469664987590613,effector memory T
161,0.3469664987590613,intermediate T
167,0.3469664987590613,tissue-resident memory T
172,0.3469664987590613,regulatory T
175,0.3469664987590613,naïve T
183,0.3469664987590613,cytotoxic T lymphocytes
192,0.47832225384936716,proliferative CD4 T
196,0.3469664987590613,effector memory T
200,0.3469664987590613,cytotoxic T lymphocytes
218,0.3469664987590613,intermediate T
219,0.3469664987590613,effector memory T
230,0.3469664987590613,cytotoxic T lymphocytes
239,0.3469664987590613,intermediate T
242,0.3469664987590613,tissue-resident memory T
251,0.3469664987590613,tissue-resident memory T
254,0.5150504582148921,proliferative CD4 T
255,0.3469664987590613,central memory T
256,0.3469664987590613,naïve T
260,0.3469664987590613,intermediate T
273,0.3469664987590613,tissue-resident memory T
294,0.3469664987590613,tissue-resident memory T
297,0.3469664987590613,tissue-resident memory T
302,0.3469664987590613,effector memory T
303,0.23131099917270753,central memory T
318,0.3469664987590613,tissue-resident memory T
327,0.47832225384936716,proliferative CD4 T
328,0.3469664987590613,tissue-resident memory T
334,0.3469664987590613,intermediate T
355,0.3469664987590613,naïve T
372,0.47832225384936716,proliferative CD4 T
383,0.3469664987590613,naïve T
386,0.3469664987590613,cytotoxic T lymphocytes
387,0.3469664987590613,cytotoxic T lymphocytes
393,0.3469664987590613,effector memory T
395,0.3469664987590613,central memory T
410,0.3469664987590613,tissue-resident memory T
424,0.3469664987590613,tissue-resident memory T
426,0.3469664987590613,cytotoxic T lymphocytes
452,0.3469664987590613,effector memory T
455,0.3469664987590613,regulatory T
460,0.3469664987590613,naïve T
462,0.319060099920403,effector memory T
467,0.3469664987590613,intermediate T
480,0.319060099920403,regulatory T
491,0.3469664987590613,intermediate T
493,0.3469664987590613,tissue-resident memory T
495,0.3469664987590613,cytotoxic T lymphocytes
498,0.3469664987590613,regulatory T
504,0.3469664987590613,intermediate T
511,0.3469664987590613,tissue-resident memory T
