method,metric_key,is_composite,friedman_rank,mean_score,std_score,size_norm,rank_label,composite_rank,mean_tie_fraction,is_flagged,method_color
CellRank,Marker concordance,False,3.0,0.28889,0.07308,0.8294,3,4.8,0.85967,True,#4E9EC2
CellRank,Marker monotonicity,False,1.0,0.75324,0.09037,1.0,1,4.8,0.85967,True,#4E9EC2
CellRank,kNN smoothness,False,6.0,0.97354,0.01206,0.59563,6,4.8,0.85967,True,#4E9EC2
CellRank,Root purity,False,7.0,0.25491,0.21147,0.34204,7,4.8,0.85967,True,#4E9EC2
CellRank,Topology consistency,False,7.0,0.55329,0.20723,0.64965,7,4.8,0.85967,True,#4E9EC2
CellRank,Composite rank,True,4.8,,,0.62522,4.8,4.8,0.85967,True,#4E9EC2
ElPiGraph,Marker concordance,False,6.0,0.20265,0.07118,0.40241,6,6.2,0.48874,False,#E07B3F
ElPiGraph,Marker monotonicity,False,8.0,0.57036,0.02824,0.0,8,6.2,0.48874,False,#E07B3F
ElPiGraph,kNN smoothness,False,7.0,0.97196,0.00735,0.55001,7,6.2,0.48874,False,#E07B3F
ElPiGraph,Root purity,False,5.0,0.51204,0.22574,0.75203,5,6.2,0.48874,False,#E07B3F
ElPiGraph,Topology consistency,False,5.0,0.68918,0.17588,0.81321,5,6.2,0.48874,False,#E07B3F
ElPiGraph,Composite rank,True,6.2,,,0.4427,6.2,6.2,0.48874,False,#E07B3F
Monocle3,Marker concordance,False,7.0,0.17497,0.06833,0.175,7,5.2,1e-05,False,#3DA85A
Monocle3,Marker monotonicity,False,6.0,0.57481,0.02273,0.1075,6,5.2,1e-05,False,#3DA85A
Monocle3,kNN smoothness,False,3.0,0.97671,0.00906,0.68131,3,5.2,1e-05,False,#3DA85A
Monocle3,Root purity,False,4.0,0.56054,0.25804,0.81264,4,5.2,1e-05,False,#3DA85A
Monocle3,Topology consistency,False,6.0,0.61088,0.29098,0.72198,6,5.2,1e-05,False,#3DA85A
Monocle3,Composite rank,True,5.2,,,0.57708,5.2,5.2,1e-05,False,#3DA85A
PAGA + DPT,Marker concordance,False,5.0,0.21848,0.11153,0.49859,5,3.2,0.00084,False,#C94040
PAGA + DPT,Marker monotonicity,False,3.0,0.62537,0.03752,0.48637,3,3.2,0.00084,False,#C94040
PAGA + DPT,kNN smoothness,False,1.0,0.99089,0.00456,1.0,1,3.2,0.00084,False,#C94040
PAGA + DPT,Root purity,False,3.0,0.57321,0.25865,0.82798,3,3.2,0.00084,False,#C94040
PAGA + DPT,Topology consistency,False,4.0,0.70794,0.25798,0.83406,4,3.2,0.00084,False,#C94040
PAGA + DPT,Composite rank,True,3.2,,,0.79742,3.2,3.2,0.00084,False,#C94040
SCORPIUS,Marker concordance,False,4.0,0.28387,0.15649,0.80894,4,4.8,0.26763,False,#8E6BBE
SCORPIUS,Marker monotonicity,False,5.0,0.60276,0.02461,0.354,5,4.8,0.26763,False,#8E6BBE
SCORPIUS,kNN smoothness,False,4.0,0.97661,0.00739,0.67874,4,4.8,0.26763,False,#8E6BBE
SCORPIUS,Root purity,False,8.0,0.1603,0.31322,0.0,8,4.8,0.26763,False,#8E6BBE
SCORPIUS,Topology consistency,False,3.0,0.7816,0.24237,0.91281,3,4.8,0.26763,False,#8E6BBE
SCORPIUS,Composite rank,True,4.8,,,0.62522,4.8,4.8,0.26763,False,#8E6BBE
Slingshot,Marker concordance,False,2.0,0.29497,0.15173,0.85375,2,3.0,0.11134,False,#D4A017
Slingshot,Marker monotonicity,False,4.0,0.61833,0.05325,0.448,4,3.0,0.11134,False,#D4A017
Slingshot,kNN smoothness,False,5.0,0.97613,0.00402,0.66609,5,3.0,0.11134,False,#D4A017
Slingshot,Root purity,False,2.0,0.58611,0.34098,0.8434,2,3.0,0.11134,False,#D4A017
Slingshot,Topology consistency,False,2.0,0.8246,0.20306,0.95674,2,3.0,0.11134,False,#D4A017
Slingshot,Composite rank,True,3.0,,,0.81719,3.0,3.0,0.11134,False,#D4A017
TSCAN,Marker concordance,False,1.0,0.33393,0.15368,1.0,1,2.6,0.40127,False,#D9629B
TSCAN,Marker monotonicity,False,2.0,0.63794,0.02207,0.55029,2,2.6,0.40127,False,#D9629B
TSCAN,kNN smoothness,False,8.0,0.96089,0.01015,0.0,8,2.6,0.40127,False,#D9629B
TSCAN,Root purity,False,1.0,0.72588,0.29703,1.0,1,2.6,0.40127,False,#D9629B
TSCAN,Topology consistency,False,1.0,0.86825,0.06345,1.0,1,2.6,0.40127,False,#D9629B
TSCAN,Composite rank,True,2.6,,,0.85581,2.6,2.6,0.40127,False,#D9629B
VIA,Marker concordance,False,8.0,0.16576,0.06731,0.0,8,6.2,0.97181,True,#5BB8A8
VIA,Marker monotonicity,False,7.0,0.57269,0.01379,0.07303,7,6.2,0.97181,True,#5BB8A8
VIA,kNN smoothness,False,2.0,0.97922,0.00871,0.74411,2,6.2,0.97181,True,#5BB8A8
VIA,Root purity,False,6.0,0.48609,0.19447,0.71824,6,6.2,0.97181,True,#5BB8A8
VIA,Topology consistency,False,8.0,0.25393,0.21772,0.0,8,6.2,0.97181,True,#5BB8A8
VIA,Composite rank,True,6.2,,,0.4427,6.2,6.2,0.97181,True,#5BB8A8
